titulo,descripcion,comunidad_autonoma,provincia,municipio,publicador_codigo,publicador_nombre,identificador,url_catalogo,formatos,urls_descarga,licencia,fecha_modificacion
"Caracterización y distribución del espacio construido en Andalucía. Piscinas, garajes y aparcamientos","Caracterización y distribución del espacio construido en Andalucía. Piscinas, garajes y aparcamientos es una actividad de estadística experimental que, a partir de la reutilización de datos del Catastro inmobiliario, permite disponer de información sobre piscinas, garajes y aparcamientos en Andalucí",Andalucía,,,A01002820,Junta de Andalucía,https://www.juntadeandalucia.es/datosabiertos/portal/dataset/a85124a3-439c-4d40-836f-c5a87c894fe4,https://datos.gob.es/catalogo/a01002820-caracterizacion-y-distribucion-del-espacio-construido-en-andalucia-piscinas-garajes-y-aparcamientos,HTML | CSV | VND.OGC.WMS_XML | HTML,https://www.juntadeandalucia.es/institutodeestadisticaycartografia/visores/malla-estadistica/?year=last&style=01-stl_napp | https://www.juntadeandalucia.es/institutodeestadisticaycartografia/dega/caracterizacion-y-distribucion-del-espacio-construido-en-andalucia-piscinas-garajes-y-aparcamientos | https://www.juntadeandalucia.es/institutodeestadisticaycartografia/dega/caracterizacion-y-distribucion-del-espacio-construido-en-andalucia-servicios-interoperables-de-visualizacion-wms-y-descarga-wfs | https://www.juntadeandalucia.es/institutodeestadisticaycartografia/visores/malla-estadistica/?year=last&style=01_stl_kps_npisc,,"mié, 05 nov 2025 11:44:18 GMT+0000"
Aparcamientos Motos,Aparcamientos de motos municipales,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/aparcamientos-motos,https://datos.gob.es/catalogo/l01290672-aparcamientos-motos,CSV | GML+XML | CSV | GML+XML | VND.GOOGLE-EARTH.KML+XML | ZIP | JSON | VND.GOOGLE-EARTH.KML+XML | JSON | ZIP,https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-4326.csv | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-25830.gml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-25830.csv | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-4326.gml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-25830.kml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-4326.zip | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-25830.geojson | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-4326.kml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-4326.geojson | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMoto-25830.zip,,"dom, 22 feb 2026 23:00:00 GMT+0000"
Aparcamientos bici,Previsualización disponible en la siguiente URL de Geoportal https://callejero.malaga.eu/?gplayers=aparcamiento-bicicleta&gp=o,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/aparcamientos-bici,https://datos.gob.es/catalogo/l01290672-aparcamientos-bici,VND.GOOGLE-EARTH.KML+XML | CSV | X-ZIPPED-SHP | VND.GOOGLE-EARTH.KML+XML | X-ZIPPED-SHP | GML+XML | JSON | CSV | GML+XML | JSON,https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-25830.kml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-4326.csv | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-4326.zip | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-4326.kml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-25830.zip | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-4326.gml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-4326.geojson | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-25830.csv | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-25830.gml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosBici-25830.geojson,,"mar, 16 sep 2025 22:00:00 GMT+0000"
Aparcamientos en rotación,**Descripción de columnas incluidas en los recursos**   * ID_EQUIPAMIENTO: Identificador único de equipamiento. * FINALIDAD: Descripción o finalidad del equipamiento. * TOOLTIP: Nombre del equipamiento. * SDOPUNTO: Localización georreferenciada.  Previsualización disponible en la siguiente URL de Ge,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/aparcamientos-en-rotacion,https://datos.gob.es/catalogo/l01290672-aparcamientos-en-rotacion,VND.GOOGLE-EARTH.KML+XML | GML+XML | GML+XML | X-ZIPPED-SHP | CSV | VND.GOOGLE-EARTH.KML+XML | JSON | X-ZIPPED-SHP | JSON | CSV,https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-4326.kml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-4326.gml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-25830.gml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-25830.zip | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-25830.csv | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-25830.kml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-4326.geojson | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-4326.zip | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-25830.geojson | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosRotacion-4326.csv,,"mar, 16 sep 2025 22:00:00 GMT+0000"
Aparcamientos movilidad reducida,Previsualización disponible en la siguiente URL de Geoportal https://callejero.malaga.eu/?gplayers=aparcamiento-movilidad-reducida&gp=o,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/aparcamientos-movilidad-reducida,https://datos.gob.es/catalogo/l01290672-aparcamientos-movilidad-reducida,JSON | X-ZIPPED-SHP | X-ZIPPED-SHP | CSV | VND.GOOGLE-EARTH.KML+XML | VND.GOOGLE-EARTH.KML+XML | CSV | JSON | GML+XML | GML+XML,https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-25830.geojson | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-4326.zip | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-25830.zip | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-25830.csv | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-4326.kml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-25830.kml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-4326.csv | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-4326.geojson | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-25830.gml | https://datosabiertos.malaga.eu/recursos/transporte/trafico/da_aparcamientosMovilidadReducida-4326.gml,,"dom, 11 may 2025 22:00:00 GMT+0000"
Aparcamientos para residentes,**Descripción de columnas incluidas en los recursos**   * ID_EQUIPAMIENTO: Identificador único de equipamiento. * FINALIDAD: Descripción o finalidad del equipamiento. * TOOLTIP: Nombre del equipamiento. * SDOPUNTO: Localización georreferenciada.  Previsualización disponible en la siguiente URL de Ge,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/aparcamientos-para-residentes,https://datos.gob.es/catalogo/l01290672-aparcamientos-para-residentes,GML+XML | CSV | GML+XML | CSV | X-ZIPPED-SHP | VND.GOOGLE-EARTH.KML+XML | JSON | X-ZIPPED-SHP | VND.GOOGLE-EARTH.KML+XML,https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-25830.gml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-25830.csv | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-4326.gml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-4326.csv | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-25830.zip | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-4326.kml | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-4326.geojson | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-4326.zip | https://datosabiertos.malaga.eu/recursos/urbanismoEInfraestructura/equipamientos/da_aparcamientosResidente-25830.kml,,"mar, 16 sep 2025 22:00:00 GMT+0000"
Consultas App Aparcamientos pago con móvil,Número de consultas realizadas con la aplicación móvil de Aparcamientos para el pago del S.A.R.E.,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/consultas-app-aparcamientos-pago-con-movil,https://datos.gob.es/catalogo/l01290672-consultas-app-aparcamientos-pago-con-movil,CSV,https://datosabiertos.malaga.eu/dataset/08c91a74-cddd-409f-b53b-8707598378f6/resource/1bde389e-bb5a-4cbb-b11d-81504a26180b/download/consultasapppagoconmovil.csv,,"mié, 29 nov 2017 23:00:00 GMT+0000"
Ocupación aparcamientos públicos municipales,Ocupación de los aparcamientos públicos municipales en formato CSV. La información de actualiza cada 1 minuto.  La correspondencia de identificadores de aparcamientos y nombre está disponible en:  https://datosabiertos.malaga.eu/recursos/aparcamientos/ocupappublicosmun/catalogo.csv,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/ocupacion-aparcamientos-publicos-municipales,https://datos.gob.es/catalogo/l01290672-ocupacion-aparcamientos-publicos-municipales,CSV,https://datosabiertos.malaga.eu/recursos/aparcamientos/ocupappublicosmun/ocupappublicosmun.csv,,"jue, 13 ago 2026 22:00:00 GMT+0000"
Plazas aparcamientos 2013,Detalle de plazas de aparcamientos para el año 2013,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/plazas-aparcamientos-2013,https://datos.gob.es/catalogo/l01290672-plazas-aparcamientos-2013,CSV,https://datosabiertos.malaga.eu/dataset/9d7dd65c-20de-4192-bd8c-10047ad8750e/resource/24d5ecd7-af68-48fb-bb11-2612b1f6e8fd/download/plazasaparcamientos2013.csv,,"mié, 29 nov 2017 23:00:00 GMT+0000"
Plazas aparcamientos S.A.RE.,Detalle de las plazas de aparcamientos por zonas de los sectores de aparcamiento regulado (S.A.RE.).,Andalucía,Málaga,Málaga,L01290672,Ayuntamiento de Málaga,https://datosabiertos.malaga.eu/dataset/plazas-aparcamientos-s-a-re,https://datos.gob.es/catalogo/l01290672-plazas-aparcamientos-s-a-re,CSV,https://datosabiertos.malaga.eu/dataset/27db3586-f3ce-4b18-9147-33f6bcbde758/resource/817455c8-bfe5-4c32-805d-db18f7c6f25c/download/plazasaparcamientossare2013.csv,,"mié, 29 nov 2017 23:00:00 GMT+0000"
