CÓDIGO APARC;NOMBRE APARC;TIPO;PZS ROTACIÓN;PZS RESIDENTES;PZS DISUASORIAS;PZS TOTALES;NUM PLANTAS;ESTADO;PRIVADO;DISUASORIO;COD DISTRITO;DISTRITO;COD BARRIO;BARRIO;COD SER;LATITUD;LONGITUD;COD CATASTRO;URL;COD PK;DIRECCIÓN
912;AGUILAR DE CAMPOO;RESIDENCIAL;;304;;304;3;ABIERTO;NO;NO;9;MONCLOA-ARAVACA     ;4;VALDEZARZA;0;40.4647124801429;-3.71937440247255;9198744VK3799G0001XY;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d60868540e41c010VgnVCM2000000c205a0aRCRD;67711;CALLE DE ANTONIO MACHADO NUM 10, 28035 MADRID
204;AGUILÓN;RESIDENCIAL;;271;;271;2;ABIERTO;NO;NO;2;ARGANZUELA          ;3;CHOPERA;23;40.3953242147226;-3.70066269999703;0622704VK4702B0001TW;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc5215cbed51c010VgnVCM2000000c205a0aRCRD;13560;PASEO DE LA CHOPERA NUM 27(P), 28045 MADRID
115;AGUSTÍN LARA;RESIDENCIAL;;291;;333;1;ABIERTO;NO;NO;1;CENTRO              ;2;EMBAJADORES;12;40.4077362146594;-3.70421674570288;0335701VK4703E0002UQ;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=856bc2c6e051c010VgnVCM2000000c205a0aRCRD;81690;CALLE DEL MESÓN DE PAREDES NUM 66 PLTA -2, 28012 MADRID
116;ALAMEDA;RESIDENCIAL;;171;;171;7;CERRADO;NO;NO;1;CENTRO              ;3;CORTES;13;40.411641708999; -3.693836597352357;1138505VK4713G0001OX;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5690bf11ca045410VgnVCM1000000b205a0aRCRD;7439839;CALLE DE LA ALAMEDA NUM 12(P), 28014 MADRID
435;ALCÁNTARA;MIXTO;121;254;;375;3;ABIERTO;NO;NO;4;SALAMANCA           ;2;GOYA;42;40.428193768950756; -3.673778093084516;3056310VK4735E0001ZM;https://www.madrid.es/portales/munimadrid/es/Inicio/Contacto/Direcciones-y-telefonos/Aparcamiento-para-residentes-Alcantara/?vgnextfmt=default&vgnextoid=79df252aa267d710VgnVCM1000001d4a900aRCRD&vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD;11544480;CALLE DE ALCÁNTARA NUM 26, 28006 MADRID
818;ALCAZABA;RESIDENCIAL;;334;;334;3;ABIERTO;NO;NO;8;FUENCARRAL-EL PARDO ;4;EL PILAR;84;40.4731383570492;-3.70315583932366;0412933VK3890H0001DT;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0ee6545f951c010VgnVCM2000000c205a0aRCRD;17790;CALLE DE SINESIO DELGADO NUM 26, 28029 MADRID
5000;ALMAGRO;ROTACIONAL;437;;;437;3;ABIERTO;NO;NO;7;CHAMBERÍ           ;4;ALMAGRO;74;40.4298019274054;-3.69323812827144;1460101VK4716A0001ZL;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0e167339ae51c010VgnVCM2000000c205a0aRCRD;13452;CALLE DE ALMAGRO S/N, 28010 MADRID
721;ALONSO CANO;RESIDENCIAL;;433;;433;3;ABIERTO;NO;NO;7;CHAMBERÍ;4;ALMAGRO;74;40.4382832884019;-3.69758433593285;0968201VK4706H0001SO;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa0dc2c6e051c010VgnVCM2000000c205a0aRCRD;81696;CALLE DE JOSÉ ABASCAL NUM 28(A), 28003 MADRID
1803;ALTOS DE LILLO;RESIDENCIAL;;167;;167;3;ABIERTO;NO;NO;18;VILLA DE VALLECAS   ;1;CASCO H.VALLECAS;0;40.3751161947067; -3.6187764984665742;7597327VK4679H0001TF;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=038215cbed51c010VgnVCM2000000c205a0aRCRD;13561;CALLE DE ALTOS DE LILLO NUM 10(P), 28031 MADRID
1018;ALUCHE;RESIDENCIAL;;208;;208;3;ABIERTO;NO;NO;10;LATINA              ;4;ALUCHE;0;40.39260709014263; -3.7586798849896357;5720301VK3752B0001OP;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a022c798651c010VgnVCM2000000c205a0aRCRD;19060;CALLE DE ILLESCAS S/N esquina Calle Valmojado, 28047 MADRID
