id,name,address,areaCode,email,URLIcono,long,lat,state,town,isEmtParking,Plazas_standard,Plazas_PMR,Rotacion,Residentes,Mixto,Disuasorio,HUBS
5,Nuestra Señora del Recuerdo,"c/ Hiedra, 26",28036 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.679160,40.472181,España,Madrid,Y,902,12,Y,N,N,Y,N
7,Avenida de Portugal,"Avda. de Portugal, s/n. Frente al nº 51",28011 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.727515,40.415415,España,Madrid,Y,435,14,Y,N,N,Y,N
9,Paseo de Recoletos,"Paseo de Recoletos, 4",28001 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692164729674,40.420692539318,España,Madrid,Y,281,8,Y,Y,Y,N,N
12,Almagro,"c/ Almagro, 11",28010 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692950,40.430390,España,Madrid,Y,453,12,Y,N,N,N,N
15,Jacinto Benavente,"Plaza Jacinto Benavente, s/n",28012 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.703448,40.414267,España,Madrid,Y,394,4,Y,Y,Y,N,N
22,Orense,"Avda. General Perón, 27",28020 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.694009,40.453019,España,Madrid,Y,144,4,Y,N,N,N,N
25,Marqués de Salamanca,"Plaza Marques de Salamanca, s/n",28006 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.679197,40.430293,España,Madrid,Y,361,8,Y,Y,Y,N,N
27,Fuencarral,"C/ Fuencarral, 111 (entre 111 Y 121)",      ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.702573,40.4294714,España,Madrid,Y,307,7,Y,Y,Y,N,N
49,Montalbán,C/ Montalbán (entre C/ Alfonso XI y Pº Prado),28014 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.690707,40.418161,España,Madrid,Y,294,4,Y,Y,Y,N,N
52,Olavide,Plaza de Olavide,      ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7010275,40.4326973,España,Madrid,Y,383,13,Y,Y,Y,N,N
53,Plaza de España,Plaza de España,28008 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.711583,40.423636,España,Madrid,Y,808,29,Y,Y,Y,N,N
55,Plaza Mayor,Plaza Mayor,      ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7066676,40.4152721,España,Madrid,Y,699,22,Y,Y,Y,N,N
57,San Epifanio,"C/ San Epifanio, 7",28005 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.718745,40.401317,España,Madrid,Y,501,12,Y,Y,Y,N,N
67,Villa de París,Plaza Villa de París,28004 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692336,40.42510,España,Madrid,Y,179,4,Y,N,N,N,N
69,Barceló,"C/ Barceló, s/n",      ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.700366   ,40.426438  ,España,Madrid,Y,554,0,N,Y,N,N,N
71,Pedro Zerolo,"Plaza Pedro Zerolo, s/n",28004 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.699282,40.420653,España,Madrid,Y,115,3,Y,Y,Y,N,N
73,Agustín Lara,Plaza Arturo Barea,28012 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.703414,40.408628,España,Madrid,Y,52,0,N,Y,N,N,N
74,Fuente de la Mora,"Av. de Manoteras, 1D",28050 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.663501,40.484395,España,Madrid,Y,414,12,Y,N,N,Y,N
76,Pitis,"Calle Gloria Fuertes, 191",28035 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.723984502,40.4965580,España,Madrid,Y,461,10,Y,N,N,Y,N
78,Islazul,"Calle Calderilla, 1",28054 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.738932785,40.364416188,España,Madrid,Y,224,0,Y,N,N,Y,N
79,Aviación Española,"Calle Fuente de Lima, 2",28024 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.783541162,40.383721163,España,Madrid,Y,359,9,Y,N,N,Y,N
80,Wanda Metropolitano,"Avda. Arcentales, 39",28022 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.60067257,40.4335587,España,Madrid,Y,3027,0,Y,N,N,Y,N
81,Paseo Artilleros 360,"San Cipriano, 3",28032 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.60913450,40.4046325,España,Madrid,Y,148,4,Y,Y,Y,N,N
82,Altamiras,"C/ Fco Altimiras, 4
",      ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.663694,40.433787,España,Madrid,Y,59,0,N,Y,N,N,N
84,Elvira,"C/ Elvira, 42",28028 ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.665728,40.420947,España,Madrid,Y,190,0,N,Y,N,N,N
85,Ginzo de Limia,"C/ Ginzo de Limia, 66
",      ,aparcamientos@emtmadrid.es,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.707068,40.484704,España,Madrid,Y,97,0,N,Y,N,N,N
