Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto Cajetines;Longitud;Latitud
439561.9600000000;4473610.5700000000;17/06/2024;1 CENTRO;11 PALACIO;AGUAS, CALLE, DE LAS;10;PMR;Línea;1;8;;-3.7123246800;40.4109204150
439581.1100000000;4473584.2300000000;25/09/2018;1 CENTRO;11 PALACIO;AGUAS, CALLE, DE LAS;4;PMR;Línea;1;5,5;;-3.7120965280;40.4106852160
439552.0300000000;4473455.8700000000;12/02/2025;1 CENTRO;11 PALACIO;AGUILA, CALLE, DEL;13;PMR;Batería;1;8;;-3.7124270100;40.4095260650
439112.7100000000;4473644.1900000000;24/02/2006;1 CENTRO;11 PALACIO;ALGECIRAS, CALLE, DE;3;PMR;Línea;1;5;;-3.7176224760;40.4111905070
439895.2500000000;4474440.6400000000;02/04/2019;1 CENTRO;11 PALACIO;ANGELES, COSTANILLA, DE LOS;5;PMR;Línea;1;6,4;;-3.7084753200;40.4184224950
439690.0300000000;4474522.3800000000;11/04/2023;1 CENTRO;11 PALACIO;ARRIETA, CALLE, DE;11;PMR;Línea;2;16;;-3.7109017960;40.4191438490
439700.4600000000;4474511.4600000000;11/04/2023;1 CENTRO;11 PALACIO;ARRIETA, CALLE, DE;9;PMR;Línea;1;8;;-3.7107779230;40.4190462170
439695.5300000000;4473416.1800000000;17/06/2024;1 CENTRO;11 PALACIO;CALATRAVA, CALLE, DE;7;PMR;Línea;1;8;;-3.7107320860;40.4091792530
439876.0200000000;4474103.4400000000;20/05/1998;1 CENTRO;11 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;5;PMR;Línea;1;5,93;;-3.7086701260;40.4153835840
439861.3800000000;4473643.3500000000;17/12/2019;1 CENTRO;11 PALACIO;CEBADA, PLAZA, DE LA;16;PMR;Línea;1;8;;-3.7087990410;40.4112377760
439787.1400000000;4473653.9200000000;13/06/2024;1 CENTRO;11 PALACIO;CEBADA, PLAZA, DE LA;17;PMR;Línea;1;8;;-3.7096750360;40.4113273870
439765.6200000000;4473668.3300000000;17/06/2024;1 CENTRO;11 PALACIO;CEBADA, PLAZA, DE LA;9;PMR;Línea;1;8;;-3.7099300020;40.4114556150
439868.0400000000;4474182.0600000000;01/07/2010;1 CENTRO;11 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;1;PMR;Línea;1;5;;-3.7087714820;40.4160910150
439625.8200000000;4474222.4800000000;17/11/2009;1 CENTRO;11 PALACIO;CRUZADA, CALLE, DE LA;3;PMR;Línea;2;10;;-3.7116301970;40.4164375970
439322.6200000000;4473342.8300000000;20/06/2024;1 CENTRO;11 PALACIO;DESCARGAS, CUESTA, DE LAS;10;PMR;Línea;1;8;;-3.7151198540;40.4084913600
439412.5700000000;4473709.2900000000;08/05/2024;1 CENTRO;11 PALACIO;DON PEDRO, CALLE, DE;15;PMR;Línea;1;8;;-3.7140946610;40.4117992750
439650.0300000000;4474626.2400000000;11/03/2024;1 CENTRO;11 PALACIO;ENCARNACION, CALLE, DE LA;4;PMR;Línea;1;8;;-3.7113832530;40.4200765670
439814.5300000000;4474325.3100000000;01/12/2004;1 CENTRO;11 PALACIO;ESCALINATA, CALLE, DE LA;15;PMR;Línea;1;6;;-3.7094157730;40.4173781650
439763.0800000000;4474879.4500000000;11/05/2009;1 CENTRO;11 PALACIO;FLOR BAJA, CALLE, DE LA;6;PMR;Línea;1;5;;-3.7100747320;40.4223662780
439546.1300000000;4473248.0800000000;12/06/2024;1 CENTRO;11 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;5;PMR;Línea;1;8;;-3.7124768570;40.4076541540
439656.0100000000;4474146.7400000000;28/10/2010;1 CENTRO;11 PALACIO;JUAN DE HERRERA, CALLE, DE;1;PMR;Línea;1;5;;-3.7112672860;40.4157575540
439693.7400000000;4474923.2900000000;01/07/2010;1 CENTRO;11 PALACIO;LEGANITOS, CALLE, DE;43;PMR;Línea;1;5;;-3.7108960670;40.4227561760
439428.5800000000;4474063.4900000000;01/12/2004;1 CENTRO;11 PALACIO;MAYOR, CALLE;81;PMR;Batería;2;4;;-3.7139397900;40.4149910510
439545.4900000000;4473901.6200000000;27/01/2023;1 CENTRO;11 PALACIO;MORERIA, CALLE, DE LA;1;PMR;Línea;1;8;;-3.7125464710;40.4135415820
439378.6900000000;4473801.0000000000;06/09/2024;1 CENTRO;11 PALACIO;MORERIA, CALLE, DE LA;19;PMR;Línea;1;8;;-3.7145027790;40.4126226720
439667.3000000000;4473672.3600000000;17/12/2019;1 CENTRO;11 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;4;PMR;Línea;1;6,5;;-3.7110892110;40.4114851220
439549.8300000000;4473789.8900000000;24/09/2019;1 CENTRO;11 PALACIO;REDONDILLA, CALLE, DE LA;7;PMR;Línea;1;5;;-3.7124847070;40.4125349530
439379.4500000000;4473447.8900000000;21/10/2009;1 CENTRO;11 PALACIO;ROSARIO, CALLE, DEL;15;PMR;Línea;1;5;;-3.7144602080;40.4094418400
439605.5800000000;4473838.3000000000;19/04/2017;1 CENTRO;11 PALACIO;SAN ANDRES, COSTANILLA, DE;10;PMR;Línea;1;5,5;;-3.7118323370;40.4129759580
439326.6600000000;4473713.4500000000;05/11/2020;1 CENTRO;11 PALACIO;SAN BUENAVENTURA, CALLE, DE;14;PMR;Línea;1;5,5;;-3.7151075930;40.4118301000
439369.2800000000;4473635.7100000000;11/05/2009;1 CENTRO;11 PALACIO;SAN BUENAVENTURA, CALLE, DE;2;PMR;Línea;1;5;;-3.7145978900;40.4111329820
439467.6000000000;4473597.4700000000;17/12/2019;1 CENTRO;11 PALACIO;SAN FRANCISCO, CARRERA, DE;16;PMR;Línea;1;6,18;;-3.7134355300;40.4107955670
439835.0300000000;4473941.3300000000;15/03/2002;1 CENTRO;11 PALACIO;SAN JUSTO, CALLE, DE;1;PMR;Línea;1;5,33;;-3.7091378880;40.4139201930
439707.6900000000;4473835.3800000000;07/03/2012;1 CENTRO;11 PALACIO;SAN PEDRO, COSTANILLA, DE;6;PMR;Línea;1;5;;-3.7106285530;40.4129568210
