FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26dc,65623,APARCAMOTOS_033,Esq. Peinado,"CALLE EDUARDO DOMÍNGUEZ ÁVILA, 19 ",POINT (-4.421669000018234 36.731155037641145),,,,Lectivos 8 a 15 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26dd,65841,APARCAMOTOS_030,Esq. Paco Miranda,"CALLE CRISTO DE LA EPIDEMIA, 93 ",POINT (-4.4155510000180715 36.732542037642936),,,,24 h.,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26de,65780,APARCAMOTOS_325,,"CAMINO COLMENAR, 8 ",POINT (-4.415677830018084 36.73373063764447),,,,,,MUNICIPAL,No,No,"8,5"
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26df,75533,APARCAMOTOS_307,Esquina con Calle ODonnell,"CALLE JUAN FERNÁNDEZ SÚRIA, 2 ",POINT (-4.43876244986269 36.722144943180034),,,,Laborables de 8 a 20h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e0,65795,APARCAMOTOS_274,Esq. con Cl. Almería,"CALLE PADRE COLOMA, 2 ",POINT (-4.356448000016599 36.72047503762772),,,,24 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e1,65761,APARCAMOTOS_299,,"CALLE DOÑA, 52 ",POINT (-4.419032910018168 36.732870397643396),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e2,65729,APARCAMOTOS_228,Intersección c/ Huerto del Conde,"CALLE FRAILES, 4 ",POINT (-4.417518000018105 36.724667037632905),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e3,65786,APARCAMOTOS_255,Esq. con Cl. Somera,"CALLE MARTÍNEZ CAMPOS, 12 ",POINT (-4.423323000018228 36.7154270376212),,,,24 h.,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e4,65625,APARCAMOTOS_064,Esq. Hurtado de Mendoza y Pedro de Quejan,"PLAZA FRANCISCO SILVELA, 3 ",POINT (-4.411833000017966 36.728173037637454),,,,24 h,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e5,78115,APARCAMOTOS_356,,"AVENIDA DE JACINTO BENAVENTE, 27 ",POINT (-4.4255540640492494 36.75282238001731),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e6,65684,APARCAMOTOS_159,,"AVENIDA DE JACINTO BENAVENTE, 18 ",POINT (-4.424431000018363 36.75081503766614),,,,24 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e7,65842,APARCAMOTOS_087,Esq. Maestranza,"PLAZA DEL GENERAL TORRIJOS, 3 ",POINT (-4.412138611096215 36.720143043781),,,,L a V lab 8 a 15 h.,,MUNICIPAL,No,No,78
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e8,65774,APARCAMOTOS_314,C/ Ferrocarril del Puerto esq. C/ Ayala,"CALLE AYALA, 24 ",POINT (-4.432389670018456 36.7091656776132),,,,,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26e9,65773,APARCAMOTOS_296,Esq. Calle Alfambra,"CALLE ALMANZOR, 7 ",POINT (-4.442212370018729 36.70999353761421),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26ea,65836,APARCAMOTOS_119,Esq. Juan Villarazo,"AVENIDA DE JOSÉ RIBERA, 22 ",POINT (-4.471755198228931 36.72012392668964),,,,24 h,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26eb,65846,APARCAMOTOS_117,Junto I.E.S Campanillas,"CALLE FAUSTO, 45 ",POINT (-4.551011000022279 36.72673503763516),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26ec,65707,APARCAMOTOS_183,,"CALLE FISCAL LUIS PORTERO GARCÍA, 9 ",POINT (-4.460441000019269 36.716302037622185),,,,Laborables 8 a 15 h,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26ed,65849,APARCAMOTOS_120,Esq. Avda. Gregorio Prieto,"CALLE FISCAL LUIS PORTERO GARCÍA, 10 ",POINT (-4.462521225233331 36.71440886993035),,,,Lab.8 a 15 h.,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26ee,65848,APARCAMOTOS_122,Frente a Ciudad de la Justicia,"CALLE FISCAL LUIS PORTERO GARCÍA, 6 ",POINT (-4.4615482539131515 36.7147459015485),,,,Laborables 8 a 15h,,MUNICIPAL,No,No,33
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26ef,65618,APARCAMOTOS_036,Esq. Hilera,"CALLE ESPERANTO, 3 ",POINT (-4.431691914815292 36.71867514033708),,,,24 h.,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26f0,65859,APARCAMOTOS_061,Esq. Ejido,"PLAZA DEL MAESTRO ARTOLA, 3 ",POINT (-4.418339000018136 36.72926603763878),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26f1,65863,APARCAMOTOS_015,Esquina c/Juan de Herrera,"AVENIDA DEL DOCTOR GÁLVEZ GINACHERO, 9 ",POINT (-4.427877000018385 36.72683003763564),,,,24 h.,,MUNICIPAL,No,No,25
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26f2,65603,APARCAMOTOS_212,,"CALLE GREGORIO DE FRÍAS, 8 ",POINT (-4.441559000018714 36.70979703761391),,,,24 h,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_26f3,65615,APARCAMOTOS_006,Esq. con Cl. Martínez Campos,"CALLE MARTÍNEZ CAMPOS, 19 ",POINT (-4.424567000018266 36.71506903762073),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,13
