Direccion;Latitud;Longitud;Coordenadas
Ctra de Loeches, 51;40.304097558901;-3.44505548389231;40.304097558901, -3.44505548389231
Parking Metro;40.3036125835102;-3.44700145853453;40.3036125835102, -3.44700145853453
Parking Metro;40.3036340572965;-3.44700165067703;40.3036340572965, -3.44700165067703
Parking Metro;40.30365963173;-3.44700450573791;40.30365963173, -3.44700450573791
Parking Metro;40.3035870468371;-3.44699862373033;40.3035870468371, -3.44699862373033
Calle  Flor de Lis, 1;40.3036142008081;-3.44345987212414;40.3036142008081, -3.44345987212414
Calle  Miralparque, 3;40.3036864997997;-3.44299485256291;40.3036864997997, -3.44299485256291
Calle  Miralparque, 15;40.3036100484656;-3.44265246797915;40.3036100484656, -3.44265246797915
Urb  Gran Hábitat, 4;40.3038660401144;-3.44091458082429;40.3038660401144, -3.44091458082429
Urb  Gran Hábitat, 7;40.3036458596565;-3.44031060391646;40.3036458596565, -3.44031060391646
Urb  Gran Hábitat, 7;40.303613501003;-3.44021637971013;40.303613501003, -3.44021637971013
Calle  Doctor Marañón, 3;40.3035094024722;-3.43833542345042;40.3035094024722, -3.43833542345042
Calle  Puerta del Campo, 35;40.3031909045959;-3.43690606755502;40.3031909045959, -3.43690606755502
Calle  Doctor Ochoa, 7;40.3033014400538;-3.43882124085429;40.3033014400538, -3.43882124085429
Calle  Jacinto Benavente, 5;40.3032442630038;-3.43923139285243;40.3032442630038, -3.43923139285243
Calle  Jacinto Benavente, 1;40.3029609427001;-3.43934596413787;40.3029609427001, -3.43934596413787
Calle  Doctor Barraquer, 1;40.3029899867314;-3.43974200838297;40.3029899867314, -3.43974200838297
Calle  Francisco Rabal, 19;40.303019202136;-3.4418665551514;40.303019202136, -3.4418665551514
Calle  Inmaculada Concepción, 1;40.302624927755;-3.44695887045929;40.302624927755, -3.44695887045929
Calle  Virgen de los Reyes, 3;40.3025587211726;-3.44652421610918;40.3025587211726, -3.44652421610918
Calle  Virgen del Rosario, 3;40.302374087487;-3.44620058909624;40.302374087487, -3.44620058909624
Calle  Virgen del Rosario, 8;40.3024857512257;-3.4459814332383;40.3024857512257, -3.4459814332383
Parking Era Vedia;40.3020702452896;-3.44337713099925;40.3020702452896, -3.44337713099925
Calle  Santa Teresa, 3;40.3026482241788;-3.44110323521463;40.3026482241788, -3.44110323521463
Calle  Dulcinea del Toboso, 5;40.3022432834001;-3.44004510038364;40.3022432834001, -3.44004510038364
