Nº de plazas de garaje;Municipios (con más de 2.000 habitantes);Nº de inmuebles;Total
Total;44008  Albalate del Arzobispo;Total;335
Total;44008  Albalate del Arzobispo;1;292
Total;44008  Albalate del Arzobispo;2;21
Total;44008  Albalate del Arzobispo;3;7
Total;44008  Albalate del Arzobispo;4;1
Total;44008  Albalate del Arzobispo;5 a 9;9
Total;44008  Albalate del Arzobispo;10 a 19;3
Total;44008  Albalate del Arzobispo;20 a 29;2
Total;44008  Albalate del Arzobispo;30 a 39;..
Total;44008  Albalate del Arzobispo;40 o más;..
Total;44013  Alcañiz;Total;1.205
Total;44013  Alcañiz;1;773
Total;44013  Alcañiz;2;68
Total;44013  Alcañiz;3;32
Total;44013  Alcañiz;4;20
Total;44013  Alcañiz;5 a 9;153
Total;44013  Alcañiz;10 a 19;126
Total;44013  Alcañiz;20 a 29;21
Total;44013  Alcañiz;30 a 39;7
Total;44013  Alcañiz;40 o más;5
Total;44014  Alcorisa;Total;691
Total;44014  Alcorisa;1;547
Total;44014  Alcorisa;2;66
Total;44014  Alcorisa;3;31
Total;44014  Alcorisa;4;13
Total;44014  Alcorisa;5 a 9;20
Total;44014  Alcorisa;10 a 19;13
Total;44014  Alcorisa;20 a 29;..
Total;44014  Alcorisa;30 a 39;1
Total;44014  Alcorisa;40 o más;..
Total;44025  Andorra;Total;1.134
Total;44025  Andorra;1;906
Total;44025  Andorra;2;106
Total;44025  Andorra;3;31
Total;44025  Andorra;4;21
Total;44025  Andorra;5 a 9;60
Total;44025  Andorra;10 a 19;9
Total;44025  Andorra;20 a 29;1
Total;44025  Andorra;30 a 39;..
Total;44025  Andorra;40 o más;..
Total;44050  Calamocha;Total;762
Total;44050  Calamocha;1;664
Total;44050  Calamocha;2;46
Total;44050  Calamocha;3;10
Total;44050  Calamocha;4;2
Total;44050  Calamocha;5 a 9;21
Total;44050  Calamocha;10 a 19;18
Total;44050  Calamocha;20 a 29;1
Total;44050  Calamocha;30 a 39;..
Total;44050  Calamocha;40 o más;..
Total;44051  Calanda;Total;815
Total;44051  Calanda;1;637
Total;44051  Calanda;2;102
Total;44051  Calanda;3;33
Total;44051  Calanda;4;9
Total;44051  Calanda;5 a 9;20
Total;44051  Calanda;10 a 19;14
Total;44051  Calanda;20 a 29;..
Total;44051  Calanda;30 a 39;..
Total;44051  Calanda;40 o más;..
Total;44076  Cella;Total;411
Total;44076  Cella;1;345
Total;44076  Cella;2;45
Total;44076  Cella;3;6
Total;44076  Cella;4;3
Total;44076  Cella;5 a 9;5
Total;44076  Cella;10 a 19;7
Total;44076  Cella;20 a 29;..
Total;44076  Cella;30 a 39;..
Total;44076  Cella;40 o más;..
Total;44153  Monreal del Campo;Total;609
Total;44153  Monreal del Campo;1;527
Total;44153  Monreal del Campo;2;47
Total;44153  Monreal del Campo;3;5
Total;44153  Monreal del Campo;4;6
Total;44153  Monreal del Campo;5 a 9;16
Total;44153  Monreal del Campo;10 a 19;7
Total;44153  Monreal del Campo;20 a 29;1
Total;44153  Monreal del Campo;30 a 39;..
Total;44153  Monreal del Campo;40 o más;..
Total;44216  Teruel;Total;2.943
Total;44216  Teruel;1;2.181
Total;44216  Teruel;2;164
Total;44216  Teruel;3;96
Total;44216  Teruel;4;50
Total;44216  Teruel;5 a 9;193
Total;44216  Teruel;10 a 19;142
Total;44216  Teruel;20 a 29;61
Total;44216  Teruel;30 a 39;28
Total;44216  Teruel;40 o más;28
Total;44238  Utrillas;Total;244
Total;44238  Utrillas;1;195
Total;44238  Utrillas;2;18
Total;44238  Utrillas;3;10
Total;44238  Utrillas;4;4
Total;44238  Utrillas;5 a 9;13
Total;44238  Utrillas;10 a 19;4
Total;44238  Utrillas;20 a 29;..
Total;44238  Utrillas;30 a 39;..
Total;44238  Utrillas;40 o más;..
Total;44246  Valderrobres;Total;485
Total;44246  Valderrobres;1;356
Total;44246  Valderrobres;2;73
Total;44246  Valderrobres;3;22
Total;44246  Valderrobres;4;11
Total;44246  Valderrobres;5 a 9;10
Total;44246  Valderrobres;10 a 19;11
Total;44246  Valderrobres;20 a 29;..
Total;44246  Valderrobres;30 a 39;2
Total;44246  Valderrobres;40 o más;..
1;44008  Albalate del Arzobispo;Total;305
1;44008  Albalate del Arzobispo;1;287
1;44008  Albalate del Arzobispo;2;15
1;44008  Albalate del Arzobispo;3;3
1;44008  Albalate del Arzobispo;4;..
1;44008  Albalate del Arzobispo;5 a 9;..
1;44008  Albalate del Arzobispo;10 a 19;..
1;44008  Albalate del Arzobispo;20 a 29;..
1;44008  Albalate del Arzobispo;30 a 39;..
1;44008  Albalate del Arzobispo;40 o más;..
1;44013  Alcañiz;Total;756
1;44013  Alcañiz;1;689
1;44013  Alcañiz;2;30
1;44013  Alcañiz;3;18
1;44013  Alcañiz;4;1
1;44013  Alcañiz;5 a 9;15
1;44013  Alcañiz;10 a 19;2
1;44013  Alcañiz;20 a 29;..
1;44013  Alcañiz;30 a 39;1
1;44013  Alcañiz;40 o más;..
1;44014  Alcorisa;Total;562
1;44014  Alcorisa;1;506
1;44014  Alcorisa;2;36
1;44014  Alcorisa;3;11
1;44014  Alcorisa;4;5
1;44014  Alcorisa;5 a 9;3
1;44014  Alcorisa;10 a 19;1
1;44014  Alcorisa;20 a 29;..
1;44014  Alcorisa;30 a 39;..
1;44014  Alcorisa;40 o más;..
1;44025  Andorra;Total;847
1;44025  Andorra;1;750
1;44025  Andorra;2;53
1;44025  Andorra;3;12
1;44025  Andorra;4;7
1;44025  Andorra;5 a 9;18
1;44025  Andorra;10 a 19;6
1;44025  Andorra;20 a 29;1
1;44025  Andorra;30 a 39;..
1;44025  Andorra;40 o más;..
1;44050  Calamocha;Total;618
1;44050  Calamocha;1;592
1;44050  Calamocha;2;19
1;44050  Calamocha;3;3
1;44050  Calamocha;4;..
1;44050  Calamocha;5 a 9;4
1;44050  Calamocha;10 a 19;..
1;44050  Calamocha;20 a 29;..
1;44050  Calamocha;30 a 39;..
1;44050  Calamocha;40 o más;..
1;44051  Calanda;Total;528
1;44051  Calanda;1;477
1;44051  Calanda;2;39
1;44051  Calanda;3;10
1;44051  Calanda;4;1
1;44051  Calanda;5 a 9;1
1;44051  Calanda;10 a 19;..
1;44051  Calanda;20 a 29;..
1;44051  Calanda;30 a 39;..
1;44051  Calanda;40 o más;..
1;44076  Cella;Total;364
1;44076  Cella;1;340
1;44076  Cella;2;19
1;44076  Cella;3;2
1;44076  Cella;4;1
1;44076  Cella;5 a 9;..
1;44076  Cella;10 a 19;2
1;44076  Cella;20 a 29;..
1;44076  Cella;30 a 39;..
1;44076  Cella;40 o más;..
1;44153  Monreal del Campo;Total;515
1;44153  Monreal del Campo;1;498
1;44153  Monreal del Campo;2;15
1;44153  Monreal del Campo;3;1
1;44153  Monreal del Campo;4;1
1;44153  Monreal del Campo;5 a 9;..
1;44153  Monreal del Campo;10 a 19;..
1;44153  Monreal del Campo;20 a 29;..
1;44153  Monreal del Campo;30 a 39;..
1;44153  Monreal del Campo;40 o más;..
1;44216  Teruel;Total;1.443
1;44216  Teruel;1;1.342
1;44216  Teruel;2;57
1;44216  Teruel;3;24
1;44216  Teruel;4;10
1;44216  Teruel;5 a 9;8
1;44216  Teruel;10 a 19;1
1;44216  Teruel;20 a 29;1
1;44216  Teruel;30 a 39;..
1;44216  Teruel;40 o más;..
1;44238  Utrillas;Total;190
1;44238  Utrillas;1;180
1;44238  Utrillas;2;6
1;44238  Utrillas;3;2
1;44238  Utrillas;4;2
1;44238  Utrillas;5 a 9;..
1;44238  Utrillas;10 a 19;..
1;44238  Utrillas;20 a 29;..
1;44238  Utrillas;30 a 39;..
1;44238  Utrillas;40 o más;..
1;44246  Valderrobres;Total;296
1;44246  Valderrobres;1;264
1;44246  Valderrobres;2;23
1;44246  Valderrobres;3;6
1;44246  Valderrobres;4;3
1;44246  Valderrobres;5 a 9;..
1;44246  Valderrobres;10 a 19;..
1;44246  Valderrobres;20 a 29;..
1;44246  Valderrobres;30 a 39;..
1;44246  Valderrobres;40 o más;..
2;44008  Albalate del Arzobispo;Total;13
2;44008  Albalate del Arzobispo;1;5
2;44008  Albalate del Arzobispo;2;3
2;44008  Albalate del Arzobispo;3;4
2;44008  Albalate del Arzobispo;4;..
2;44008  Albalate del Arzobispo;5 a 9;1
2;44008  Albalate del Arzobispo;10 a 19;..
2;44008  Albalate del Arzobispo;20 a 29;..
2;44008  Albalate del Arzobispo;30 a 39;..
2;44008  Albalate del Arzobispo;40 o más;..
2;44013  Alcañiz;Total;121
2;44013  Alcañiz;1;72
2;44013  Alcañiz;2;29
2;44013  Alcañiz;3;7
2;44013  Alcañiz;4;4
2;44013  Alcañiz;5 a 9;7
2;44013  Alcañiz;10 a 19;2
2;44013  Alcañiz;20 a 29;..
2;44013  Alcañiz;30 a 39;..
2;44013  Alcañiz;40 o más;..
2;44014  Alcorisa;Total;76
2;44014  Alcorisa;1;34
2;44014  Alcorisa;2;25
2;44014  Alcorisa;3;13
2;44014  Alcorisa;4;2
2;44014  Alcorisa;5 a 9;2
2;44014  Alcorisa;10 a 19;..
2;44014  Alcorisa;20 a 29;..
2;44014  Alcorisa;30 a 39;..
2;44014  Alcorisa;40 o más;..
2;44025  Andorra;Total;226
2;44025  Andorra;1;150
2;44025  Andorra;2;44
2;44025  Andorra;3;14
2;44025  Andorra;4;10
2;44025  Andorra;5 a 9;8
2;44025  Andorra;10 a 19;..
2;44025  Andorra;20 a 29;..
2;44025  Andorra;30 a 39;..
2;44025  Andorra;40 o más;..
2;44050  Calamocha;Total;99
2;44050  Calamocha;1;71
2;44050  Calamocha;2;22
2;44050  Calamocha;3;4
2;44050  Calamocha;4;1
2;44050  Calamocha;5 a 9;1
2;44050  Calamocha;10 a 19;..
2;44050  Calamocha;20 a 29;..
2;44050  Calamocha;30 a 39;..
2;44050  Calamocha;40 o más;..
2;44051  Calanda;Total;222
2;44051  Calanda;1;154
2;44051  Calanda;2;52
2;44051  Calanda;3;12
2;44051  Calanda;4;2
2;44051  Calanda;5 a 9;2
2;44051  Calanda;10 a 19;..
2;44051  Calanda;20 a 29;..
2;44051  Calanda;30 a 39;..
2;44051  Calanda;40 o más;..
2;44076  Cella;Total;25
2;44076  Cella;1;5
2;44076  Cella;2;19
2;44076  Cella;3;1
2;44076  Cella;4;..
2;44076  Cella;5 a 9;..
2;44076  Cella;10 a 19;..
2;44076  Cella;20 a 29;..
2;44076  Cella;30 a 39;..
2;44076  Cella;40 o más;..
2;44153  Monreal del Campo;Total;63
2;44153  Monreal del Campo;1;28
2;44153  Monreal del Campo;2;30
2;44153  Monreal del Campo;3;2
2;44153  Monreal del Campo;4;1
2;44153  Monreal del Campo;5 a 9;2
2;44153  Monreal del Campo;10 a 19;..
2;44153  Monreal del Campo;20 a 29;..
2;44153  Monreal del Campo;30 a 39;..
2;44153  Monreal del Campo;40 o más;..
2;44216  Teruel;Total;914
2;44216  Teruel;1;786
2;44216  Teruel;2;86
2;44216  Teruel;3;18
2;44216  Teruel;4;13
2;44216  Teruel;5 a 9;9
2;44216  Teruel;10 a 19;1
2;44216  Teruel;20 a 29;..
2;44216  Teruel;30 a 39;1
2;44216  Teruel;40 o más;..
2;44238  Utrillas;Total;29
2;44238  Utrillas;1;15
2;44238  Utrillas;2;10
2;44238  Utrillas;3;4
2;44238  Utrillas;4;..
2;44238  Utrillas;5 a 9;..
2;44238  Utrillas;10 a 19;..
2;44238  Utrillas;20 a 29;..
2;44238  Utrillas;30 a 39;..
2;44238  Utrillas;40 o más;..
2;44246  Valderrobres;Total;112
2;44246  Valderrobres;1;71
2;44246  Valderrobres;2;30
2;44246  Valderrobres;3;6
2;44246  Valderrobres;4;4
2;44246  Valderrobres;5 a 9;1
2;44246  Valderrobres;10 a 19;..
2;44246  Valderrobres;20 a 29;..
2;44246  Valderrobres;30 a 39;..
2;44246  Valderrobres;40 o más;..
3 a 5;44008  Albalate del Arzobispo;Total;6
3 a 5;44008  Albalate del Arzobispo;1;..
3 a 5;44008  Albalate del Arzobispo;2;3
3 a 5;44008  Albalate del Arzobispo;3;..
3 a 5;44008  Albalate del Arzobispo;4;1
3 a 5;44008  Albalate del Arzobispo;5 a 9;2
3 a 5;44008  Albalate del Arzobispo;10 a 19;..
3 a 5;44008  Albalate del Arzobispo;20 a 29;..
3 a 5;44008  Albalate del Arzobispo;30 a 39;..
3 a 5;44008  Albalate del Arzobispo;40 o más;..
3 a 5;44013  Alcañiz;Total;67
3 a 5;44013  Alcañiz;1;12
3 a 5;44013  Alcañiz;2;9
3 a 5;44013  Alcañiz;3;6
3 a 5;44013  Alcañiz;4;12
3 a 5;44013  Alcañiz;5 a 9;20
3 a 5;44013  Alcañiz;10 a 19;6
3 a 5;44013  Alcañiz;20 a 29;1
3 a 5;44013  Alcañiz;30 a 39;1
3 a 5;44013  Alcañiz;40 o más;..
3 a 5;44014  Alcorisa;Total;35
3 a 5;44014  Alcorisa;1;7
3 a 5;44014  Alcorisa;2;5
3 a 5;44014  Alcorisa;3;7
3 a 5;44014  Alcorisa;4;6
3 a 5;44014  Alcorisa;5 a 9;8
3 a 5;44014  Alcorisa;10 a 19;1
3 a 5;44014  Alcorisa;20 a 29;..
3 a 5;44014  Alcorisa;30 a 39;1
3 a 5;44014  Alcorisa;40 o más;..
3 a 5;44025  Andorra;Total;55
3 a 5;44025  Andorra;1;6
3 a 5;44025  Andorra;2;9
3 a 5;44025  Andorra;3;5
3 a 5;44025  Andorra;4;4
3 a 5;44025  Andorra;5 a 9;31
3 a 5;44025  Andorra;10 a 19;..
3 a 5;44025  Andorra;20 a 29;..
3 a 5;44025  Andorra;30 a 39;..
3 a 5;44025  Andorra;40 o más;..
3 a 5;44050  Calamocha;Total;13
3 a 5;44050  Calamocha;1;1
3 a 5;44050  Calamocha;2;5
3 a 5;44050  Calamocha;3;2
3 a 5;44050  Calamocha;4;1
3 a 5;44050  Calamocha;5 a 9;3
3 a 5;44050  Calamocha;10 a 19;1
3 a 5;44050  Calamocha;20 a 29;..
3 a 5;44050  Calamocha;30 a 39;..
3 a 5;44050  Calamocha;40 o más;..
3 a 5;44051  Calanda;Total;40
3 a 5;44051  Calanda;1;6
3 a 5;44051  Calanda;2;10
3 a 5;44051  Calanda;3;11
3 a 5;44051  Calanda;4;6
3 a 5;44051  Calanda;5 a 9;7
3 a 5;44051  Calanda;10 a 19;..
3 a 5;44051  Calanda;20 a 29;..
3 a 5;44051  Calanda;30 a 39;..
3 a 5;44051  Calanda;40 o más;..
3 a 5;44076  Cella;Total;11
3 a 5;44076  Cella;1;..
3 a 5;44076  Cella;2;7
3 a 5;44076  Cella;3;2
3 a 5;44076  Cella;4;2
3 a 5;44076  Cella;5 a 9;..
3 a 5;44076  Cella;10 a 19;..
3 a 5;44076  Cella;20 a 29;..
3 a 5;44076  Cella;30 a 39;..
3 a 5;44076  Cella;40 o más;..
3 a 5;44153  Monreal del Campo;Total;13
3 a 5;44153  Monreal del Campo;1;1
3 a 5;44153  Monreal del Campo;2;2
3 a 5;44153  Monreal del Campo;3;2
3 a 5;44153  Monreal del Campo;4;4
3 a 5;44153  Monreal del Campo;5 a 9;4
3 a 5;44153  Monreal del Campo;10 a 19;..
3 a 5;44153  Monreal del Campo;20 a 29;..
3 a 5;44153  Monreal del Campo;30 a 39;..
3 a 5;44153  Monreal del Campo;40 o más;..
3 a 5;44216  Teruel;Total;190
3 a 5;44216  Teruel;1;53
3 a 5;44216  Teruel;2;21
3 a 5;44216  Teruel;3;51
3 a 5;44216  Teruel;4;24
3 a 5;44216  Teruel;5 a 9;34
3 a 5;44216  Teruel;10 a 19;7
3 a 5;44216  Teruel;20 a 29;..
3 a 5;44216  Teruel;30 a 39;..
3 a 5;44216  Teruel;40 o más;..
3 a 5;44238  Utrillas;Total;16
3 a 5;44238  Utrillas;1;..
3 a 5;44238  Utrillas;2;2
3 a 5;44238  Utrillas;3;4
3 a 5;44238  Utrillas;4;2
3 a 5;44238  Utrillas;5 a 9;6
3 a 5;44238  Utrillas;10 a 19;2
3 a 5;44238  Utrillas;20 a 29;..
3 a 5;44238  Utrillas;30 a 39;..
3 a 5;44238  Utrillas;40 o más;..
3 a 5;44246  Valderrobres;Total;55
3 a 5;44246  Valderrobres;1;21
3 a 5;44246  Valderrobres;2;20
3 a 5;44246  Valderrobres;3;9
3 a 5;44246  Valderrobres;4;3
3 a 5;44246  Valderrobres;5 a 9;2
3 a 5;44246  Valderrobres;10 a 19;..
3 a 5;44246  Valderrobres;20 a 29;..
3 a 5;44246  Valderrobres;30 a 39;..
3 a 5;44246  Valderrobres;40 o más;..
6 a 10;44008  Albalate del Arzobispo;Total;7
6 a 10;44008  Albalate del Arzobispo;1;..
6 a 10;44008  Albalate del Arzobispo;2;..
6 a 10;44008  Albalate del Arzobispo;3;..
6 a 10;44008  Albalate del Arzobispo;4;..
6 a 10;44008  Albalate del Arzobispo;5 a 9;6
6 a 10;44008  Albalate del Arzobispo;10 a 19;1
