direccion,foto,longitud,latitud
"C/Amaltea Hotel del Polígono de los Peñones","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71149531337096","37.6549885945591"
"Aparcamiento Lorca Taller del Tiempo Castillo (C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7112388563404","37.6772135101349"
"Aparcamiento Lorca Taller del Tiempo Castillo(C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71100952746963","37.6771954656608"
"C/ Francisco de Goya altura Rotonda Instituto San Juan Bosco y Piscinas B  San Antonio","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71095484825446","37.6595879851746"
"Aparcamiento Lorca Taller del Tiempo Castillo (C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71094649555778","37.6771975885403"
"Aparcamiento Lorca Taller del Tiempo Castillo(C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71093218028545","37.677215813451"
"Aparcamiento Lorca Taller del Tiempo Castillo (C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71079897406196","37.6772145715744"
"Aparcamiento Lorca Taller del Tiempo Castillo (C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71077885749435","37.6772358003616"
"Aparcamiento Lorca Taller del Tiempo Castillo (C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71076544644927","37.6772156330139"
"Aparcamiento Lorca Taller del Tiempo Castillo (C/Pilones)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71073862435912","37.6772198787718"
"C/Diego Pallarés Cacha, frente a Colegios La Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/diego pallares Cacha la viña10 [600].JPG","-1.71013945671393","37.6622888795567"
"C/Diego Pallarés Cachá, frente Colegios La Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.71009063720703","37.6623775288079"
"C/. Rodríguez Valdés, proximidad n  16","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70997528272896","37.6575686215041"
"C/Paralela y junto Ctra. Granada,altura Concesionario Renault","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/paralela Ctra Granada (Renaul)03 [600].JPG","-1.70978071125819","37.6575266822539"
"C/Tejedores con C/ Alfareria","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70962929725647","37.6615701382696"
"CALLE AGRICULTORES, JUNTO AL SALÓN DE LA JUVENTUD","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70910369043209","37.6610573531314"
"C/Pintores n  5, La Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70901507139206","37.6620040918693"
"C/. Rodríguez Valdés, próximidad n  4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70886225564378","37.6586430748863"
"C/. RODRIGUEZ VALDÉS CON C/ FRANCISCO POTOUS","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70875345806634","37.6585772490084"
"C/. Rotonda C/. Francisco de Goya, frente I.E.S. San Juan Bosco","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7087200291961","37.6587250026216"
"CALLE ALFARERIA, 18, INTERSECCIÓN CON C/. MODISTERIA","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70866362313454","37.6628218287311"
"Calle Sastrería n  4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70859128236771","37.66246060301"
"C/Tejedores altura de C/Herrerias","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70799436005427","37.6605949928587"
"C/Sierra de Tercia, Polígono Los Peñones","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/sierra de tercia  pogl peñones06 [600].JPG","-1.70789444776847","37.6572113504145"
"C/Sierra del Caño,Polígono Los Peñones (junto a Mercadona)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/sierra del caño  pogl peñones05 [600].JPG","-1.70784013303592","37.6584302014212"
" Avda. La Vendimia esquina C/ Jardineros","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70778569999993","37.66169982013"
"C/Guillermo Oliver, altura AA.VV. La Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Guillermo oliver AAVV la Viña11 [600].JPG","-1.70764500233008","37.6634014835699"
"Avenida de la Vendimia N 6","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Avda vendimia  esquina jardineros09 [600].JPG","-1.7076374509262","37.6617383332206"
"Avda. La Vendimia altura Plaza del Trabajo","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Avda vendimia altura plaza del trabajo08 [600].JPG","-1.70701743435859","37.6613166283314"
"C/Albañilería esquina Plaza Los Aprendices","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70690538815234","37.6623294186762"
"GUILLERMO OLIVER, FRENTE N  4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70686479767778","37.6629512798737"
"C/Carpintería 7,altura Plaza Iglesia Cristo Rey","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/carpinteria juanto Plaza Cristo rey12 [600].JPG","-1.70662039848639","37.6626647037697"
"C/ RAMBLAS LAS CHATAS, 12","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70656891897909","37.6636584005803"
"Avda.La Salud n  6","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/AVda la Salud 613 [600].JPG","-1.70646936322942","37.6633164459174"
"CALLE JUNTA Y PARALELA A RONDA SUR, RM-11 DE ACCESO A SUPERMERCADO ALDI","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70636335094832","37.6580664400056"
"C/. Rambla Las Señoritas, esquina C/. Talleres, 1 plaza","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70626577665283","37.6599489607304"
"C/ ANDRES PICHICHI, 4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70626019060067","37.6635373742717"
"Carretera Granada, 119, 30800 Lorca, Murcia, España","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Cra. granada esquina las palomas15 [600].JPG","-1.70622199590911","37.6617358324397"
"C/Torrecilla (explanada)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/calle torrecilla18 [600].JPG","-1.70614832969977","37.6655884237682"
"SAN AGUSTIN, esquina C/. Rambla Las Señoritas","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7058872582204","37.6631562431454"
