Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;LongitudCarte;TextoCajetines;Longitud;Latitud;Direccion
439579,2800000000;4473497,7400000000;43293;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;3;CargayDescarga;Línea;2;7,50;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7121099;40.4099055;AGUILA, CALLE, DEL, Nº 3
439873,7600000000;4474393,8700000000;41411;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;1;CargayDescarga;Línea;4;22,50;PERMITIDO CARGA Y DESCARGA DE 0 A 11 H.;-3.7087242;40.4179995;ANGELES, COSTANILLA, DE LOS, Nº 1
439884,6400000000;4474417,8400000000;41411;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;3;CargayDescarga;Línea;6;29,20;PERMITIDO CARGA Y DESCARGA DE 7 A 11 H.;-3.7085982;40.4182163;ANGELES, COSTANILLA, DE LOS, Nº 3
439759,6600000000;4474466,5000000000;44040;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;4;CargayDescarga;Línea;3;32,00;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.7100759;40.4186456;ARRIETA, CALLE, DE, Nº 4
439707,3200000000;4474504,1600000000;43018;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;CargayDescarga;Línea;2;10,51;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA..;-3.7106964;40.418981;ARRIETA, CALLE, DE, Nº 7
439720,6300000000;4473413,5100000000;41283;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;CargayDescarga;Línea;4;20,00;LABORABLES DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA;-3.7104362;40.4091569;CALATRAVA, CALLE, DE, Nº 3
439480,4400000000;4473482,1800000000;40420;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;CargayDescarga;Línea;3;15,00;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7132733;40.4097581;CALATRAVA, CALLE, DE, Nº 37
439830,7200000000;4474568,8800000000;42514;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;CargayDescarga;Línea;1;10,00;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.709248;40.419573;CAMPOMANES, CALLE, DE, Nº 15
439821,1000000000;4474502,1700000000;42514;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;5;CargayDescarga;Línea;1;15,00;EXCEPTO SUBIDA Y BAJADA DE VIAJEROS CARGA Y DESCARGA DE MERCANCIAS SERVICIO HOTEL;-3.7093551;40.4189714;CAMPOMANES, CALLE, DE, Nº 5
439730,4300000000;4473716,1600000000;41073;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;40;CargayDescarga;Línea;3;15,00;LAB DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA;-3.7103493;40.4118841;CAVA BAJA, CALLE, DE LA, Nº 40
