Código Reserva;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto Cajetines;Longitud;Latitud
0101001;439579.3200000000;4473498.0800000000;30/05/23;1 Centro;11 Palacio;AGUILA, CALLE, DEL;3;Carga y descarga 360;Línea;1;7,15;LABORABLES DE 8 A 14 H.Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA MÁX 45 MIN;-3.7121094770;40.4099090300
0101002;439873.7600000000;4474393.8700000000;23/08/22;1 Centro;11 Palacio;ANGELES, COSTANILLA, DE LOS;1;Carga y descarga 360;Línea;4;22,5;PERMITIDO CARGA Y DESCARGA DE 0 A 11 H. MÁX 45 MIN.;-3.7087240980;40.4180001680
0101003;439886.3200000000;4474421.1100000000;29/12/25;1 Centro;11 Palacio;ANGELES, COSTANILLA, DE LOS;3;Carga y descarga 360;Línea;4;21;PERMITIDO CARGA Y DESCARGA DE 0 A 11 H. MÁX 45 MIN.;-3.7085786810;40.4182459090
0101004;439759.6600000000;4474466.5000000000;26/08/22;1 Centro;11 Palacio;ARRIETA, CALLE, DE;4;Carga y descarga 360;Línea;3;32;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MAX 45 MIN.;-3.7100758770;40.4186460630
0101005;439707.3200000000;4474504.1600000000;26/08/22;1 Centro;11 Palacio;ARRIETA, CALLE, DE;7;Carga y descarga 360;Línea;2;10,5;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3.7106962760;40.4189810140
0101006;439721.9600000000;4473413.3000000000;14/11/22;1 Centro;11 Palacio;CALATRAVA, CALLE, DE;3;Carga y descarga 360;Línea;3;16,07;LABORABLES DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7104203970;40.4091554180
0101007;439480.4400000000;4473482.1800000000;26/08/22;1 Centro;11 Palacio;CALATRAVA, CALLE, DE;37;Carga y descarga 360;Línea;3;15;LABORABLES DE 8 A 14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7132733260;40.4097586860
0101008;439821.1000000000;4474502.1700000000;02/11/22;1 Centro;11 Palacio;CAMPOMANES, CALLE, DE;5;Carga y descarga 360;Línea;3;15;TODOS LOS DÍAS 24 HORAS, EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7093551540;40.4189712740
0101009;439831.5700000000;4474566.3800000000;14/11/22;1 Centro;11 Palacio;CAMPOMANES, CALLE, DE;15;Carga y descarga 360;Línea;3;15,9;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3.7092376980;40.4195502480
0101010;439728.4100000000;4473715.0300000000;29/08/22;1 Centro;11 Palacio;CAVA BAJA, CALLE, DE LA;40;Carga y descarga 360;Línea;3;15,4;LAB DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3.7103730710;40.4118743320
0101011;439869.8400000000;4474112.0400000000;14/04/25;1 Centro;11 Palacio;CAVA DE SAN MIGUEL, CALLE, DE LA;3;Carga y descarga 360;Línea;2;12;LABORABLES DE 7 A 10 H. EXCEPTO CARGA Y DESCARGA MÁXIMO 45 MINUTOS;-3.7087436360;40.4154605320
0101012;439844.1000000000;4473656.2600000000;29/08/22;1 Centro;11 Palacio;CEBADA, PLAZA, DE LA;3;Carga y descarga 360;Línea;5;26;LABORABLES DE 8 A14 H. Y DE 16:30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7090039880;40.4113529980
0101013;439755.2700000000;4473658.9700000000;29/08/22;1 Centro;11 Palacio;CEBADA, PLAZA, DE LA;9;Carga y descarga 360;Línea;7;35,7;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7100511260;40.4113711030
0101014;439866.9900000000;4474191.1200000000;14/11/22;1 Centro;11 Palacio;COMANDANTE LAS MORENAS, PLAZA, DEL;3;Carga y descarga 360;Línea;2;10,92;LABORABLES DE 8 A 15 H EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7087846600;40.4161731200
0101015;439731.6800000000;4474919.3300000000;15/11/22;1 Centro;11 Palacio;DOCTOR CARRACIDO, CALLE, DEL;1;Carga y descarga 360;Línea;4;20,3;LABORABLES DE 8 A 15 HORAS EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7104484720;40.4227227720
0101016;439619.8600000000;4474674.5400000000;30/08/22;1 Centro;11 Palacio;ENCARNACION, CALLE, DE LA;10;Carga y descarga 360;Línea;3;14,95;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7117433570;40.4205100670
0101018;439679.4700000000;4474682.5000000000;30/08/22;1 Centro;11 Palacio;GUILLERMO ROLLAND, CALLE, DE;11;Carga y descarga 360;Línea;3;14,2;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7110415410;40.4205856970
0101019;439714.6800000000;4473619.7700000000;30/08/22;1 Centro;11 Palacio;HUMILLADERO, CALLE, DEL;8;Carga y descarga 360;Línea;2;11,75;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7105257070;40.4110152390
0101020;439726.2600000000;4473554.1700000000;31/08/22;1 Centro;11 Palacio;HUMILLADERO, CALLE, DEL;16;Carga y descarga 360;Línea;2;10,8;LABORABLES DE 8 A 14 H. Y DE 16,30 A 19 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3.7103830970;40.4104245770
0101021;439525.6200000000;4473761.8600000000;30/08/22;1 Centro;11 Palacio;MANCEBOS, CALLE, DE LOS;11;Carga y descarga 360;Línea;2;10,3;LAB. DE 8 A 14 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7127674040;40.4122813620
0101022;439832.4700000000;4474163.2900000000;29/08/22;1 Centro;11 Palacio;MAYOR, CALLE;48;Carga y descarga 360;Línea;5;23,97;LAB. DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7091889390;40.4159197580
0101023;439549.5500000000;4474271.9700000000;30/08/22;1 Centro;11 Palacio;NOBLEJAS, CALLE, DE;4;Carga y descarga 360;Línea;2;13,4;LABORABLES DE 8 A 18 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7125338090;40.4168783740
0101024;439607.6000000000;4473381.3200000000;30/08/22;1 Centro;11 Palacio;PALOMA, CALLE, DE LA;6;Carga y descarga 360;Línea;3;15;LABORABLES DE 6 A 13 H EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7117651860;40.4088593140
0101025;439558.2400000000;4473796.4400000000;15/11/22;1 Centro;11 Palacio;REDONDILLA, CALLE, DE LA;5;Carga y descarga 360;Línea;3;14,27;LABORABLES DE 9:15 A 12:30 H. DE 14:30 A 16:00 H. Y DE 17:15 A 20 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7123862150;40.4125948270
0101026;439459.4900000000;4473594.2500000000;15/11/22;1 Centro;11 Palacio;SAN FRANCISCO, CARRERA, DE;16;Carga y descarga 360;Línea;2;8,8;LABORABLES DE 8 A 17 H. EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN;-3.7135308130;40.4107667480
0101028;439612.3500000000;4474142.5700000000;29/08/22;1 Centro;11 Palacio;SAN NICOLAS, PLAZA, DE;1;Carga y descarga 360;Línea;1;7;LAB. DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA. MÁX 45 MIN.;-3.7117814580;40.4157171600
0101029;439722.9300000000;4473885.0200000000;15/11/22;1 Centro;11 Palacio;SAN PEDRO, COSTANILLA, DE;2;Carga y descarga 360;Línea;1;7,13;LABORABLES DE 9 A 14 H.Y DE 16,30 A 19 H. EXCEPTOCARGA Y DESCARGA. MÁX 45 MIN.;-3.7104536290;40.4134050460
