gis_x;gis_y;fecha_de_alta;fecha_de_baja;cod_distrito;distrito;cod_barrio;num_barrio;barrio;calle;numero_finca;matricula;longitud;latitud
439608.1907882330;4473550.0278627100;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;AGUAS, CALLE, DE LAS;1;0301110056;-3.7117741820;40.4103791990
439757.5709535220;4473794.5182208300;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;ALMENDRO, CALLE, DEL;14;0301110042;-3.7100368020;40.4125919050
439724.4730690000;4474317.3719490000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;AMNISTIA, CALLE, DE LA;6;0301110014;-3.7104764900;40.4172997840
439923.6811090000;4474528.8892540000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;ANGELES, COSTANILLA, DE LOS;11;0301110012;-3.7081485050;40.4192195370
439735.2317480000;4474489.9585980000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;ARRIETA, CALLE, DE;8;0301110010;-3.7103660230;40.4188551350
439232.9841766630;4473818.0719398400;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;BEATRIZ GALINDO, CALLE, DE;S/N;0301110032;-3.7162215950;40.4127663130
439622.7569039360;4473423.0306175300;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;CALATRAVA, CALLE, DE;17;0301110064;-3.7115904910;40.4092360910
439549.6164080680;4473438.8364026500;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;CALATRAVA, CALLE, DE;29;0301110063;-3.7124538820;40.4093730850
439479.2651683980;4473481.5016919100;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;CALATRAVA, CALLE, DE;37;0301110046;-3.7132870190;40.4097518670
439834.9469865800;4474517.9686340600;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;CAMPOMANES, CALLE, DE;8;0301110011;-3.7091932930;40.4191145710
439885.3223309330;4473783.4094054000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;CAVA ALTA, CALLE, DE LA;6;0301110041;-3.7085302090;40.4125010340
