FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d2c,65623,APARCAMOTOS_033,Esq. Peinado,"CALLE EDUARDO DOMÍNGUEZ ÁVILA, 19 ",POINT (373057.787727862 4065991.19241692),,,,Lectivos 8 a 15 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d2d,65841,APARCAMOTOS_030,Esq. Paco Miranda,"CALLE CRISTO DE LA EPIDEMIA, 93 ",POINT (373606.375975467 4066136.972077),,,,24 h.,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d2e,65780,APARCAMOTOS_325,,"CAMINO COLMENAR, 8 ",POINT (373596.999748903 4066269.00035208),,,,,,MUNICIPAL,No,No,"8,5"
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d2f,75533,APARCAMOTOS_307,Esquina con Calle ODonnell,"CALLE JUAN FERNÁNDEZ SÚRIA, 2 ",POINT (371516.392250093 4065014.42063974),,,,Laborables de 8 a 20h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d30,65795,APARCAMOTOS_274,Esq. con Cl. Almería,"CALLE PADRE COLOMA, 2 ",POINT (378864.978058459 4064721.92518454),,,,24 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d31,65761,APARCAMOTOS_299,,"CALLE DOÑA, 52 ",POINT (373295.999967484 4066178.0004328),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d32,65729,APARCAMOTOS_228,Intersección c/ Huerto del Conde,"CALLE FRAILES, 4 ",POINT (373417.805121883 4065265.9335315),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d33,65786,APARCAMOTOS_255,Esq. con Cl. Somera,"CALLE MARTÍNEZ CAMPOS, 12 ",POINT (372884.168444751 4064248.55431541),,,,24 h.,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d34,65625,APARCAMOTOS_064,Esq. Hurtado de Mendoza y Pedro de Quejan,"PLAZA FRANCISCO SILVELA, 3 ",POINT (373931.228973732 4065647.38424923),,,,24 h,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d35,78115,APARCAMOTOS_356,,"AVENIDA DE JACINTO BENAVENTE, 27 ",POINT (372746.650455598 4068400.08631269),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d36,65684,APARCAMOTOS_159,,"AVENIDA DE JACINTO BENAVENTE, 18 ",POINT (372843.594330989 4068175.90257853),,,,24 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d37,65842,APARCAMOTOS_087,Esq. Maestranza,"PLAZA DEL GENERAL TORRIJOS, 3 ",POINT (373890.806586129 4064756.95684568),,,,L a V lab 8 a 15 h.,,MUNICIPAL,No,No,78
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d38,65774,APARCAMOTOS_314,C/ Ferrocarril del Puerto esq. C/ Ayala,"CALLE AYALA, 24 ",POINT (372063.999822872 4063565.99973755),,,,,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d39,65773,APARCAMOTOS_296,Esq. Calle Alfambra,"CALLE ALMANZOR, 7 ",POINT (371187.999840985 4063670.99997124),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d3a,65836,APARCAMOTOS_119,Esq. Juan Villarazo,"AVENIDA DE JOSÉ RIBERA, 22 ",POINT (368566.462574914 4064834.96991499),,,,24 h,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d3b,65846,APARCAMOTOS_117,Junto I.E.S Campanillas,"CALLE FAUSTO, 45 ",POINT (361499.997471032 4065680.07036642),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d3c,65707,APARCAMOTOS_183,,"CALLE FISCAL LUIS PORTERO GARCÍA, 9 ",POINT (369570.465301193 4064395.51294972),,,,Laborables 8 a 15 h,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d3d,65849,APARCAMOTOS_120,Esq. Avda. Gregorio Prieto,"CALLE FISCAL LUIS PORTERO GARCÍA, 10 ",POINT (369381.466519447 4064188.32202277),,,,Lab.8 a 15 h.,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d3e,65848,APARCAMOTOS_122,Frente a Ciudad de la Justicia,"CALLE FISCAL LUIS PORTERO GARCÍA, 6 ",POINT (369468.938837697 4064224.38576322),,,,Laborables 8 a 15h,,MUNICIPAL,No,No,33
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d3f,65618,APARCAMOTOS_036,Esq. Hilera,"CALLE ESPERANTO, 3 ",POINT (372142.087067492 4064620.02793925),,,,24 h.,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d40,65859,APARCAMOTOS_061,Esq. Ejido,"PLAZA DEL MAESTRO ARTOLA, 3 ",POINT (373352.041052739 4065777.2222061),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d41,65863,APARCAMOTOS_015,Esquina c/Juan de Herrera,"AVENIDA DEL DOCTOR GÁLVEZ GINACHERO, 9 ",POINT (372496.284096679 4065519.63122656),,,,24 h.,,MUNICIPAL,No,No,25
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d42,65603,APARCAMOTOS_212,,"CALLE GREGORIO DE FRÍAS, 8 ",POINT (371246.031568337 4063648.32256683),,,,24 h,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d43,65615,APARCAMOTOS_006,Esq. con Cl. Martínez Campos,"CALLE MARTÍNEZ CAMPOS, 19 ",POINT (372772.470750731 4064210.48974351),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d44,80808,APARCAMOTOS_390," C/ Don Cristian esquina con C/ Hilera, en Nº 1","CALLE DON CRISTIÁN, 2 ",POINT (372401.148496213 4064556.59310981),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d45,65594,APARCAMOTOS_203,,"CALLE LA REGENTE, 20 ",POINT (372296.247368654 4065444.71942762),,,,24 h,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d46,78117,APARCAMOTOS_359,,"CALLE JEREZ PERCHET, 8 ",POINT (373149.601609971 4067610.60732695),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d47,65814,APARCAMOTOS_049,Esq. con Cl. Cuarteles,"CALLE CUARTELES, 40 ",POINT (372406.631744581 4064035.84448113),,,,24 h.,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d48,65790,APARCAMOTOS_320,Av. Bonaire esq. Metralla,"AVENIDA DE BONAIRE, 10 ",POINT (370004.999694995 4062050.99991747),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d49,65730,APARCAMOTOS_230,A la altura del nº 11,"CALLE CALVO, 3 ",POINT (372431.095605956 4064568.21080266),,,,,,MUNICIPAL,No,No,36
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d4a,65797,APARCAMOTOS_271,,"CALLE LÍBAR, 4 ",POINT (370496.10536502 4061114.25102435),,,,24 h.,,MUNICIPAL,No,No,5
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d4b,65619,APARCAMOTOS_020,Esq. con Cl. Don Cristian,"CALLE DON CRISTIÁN, 10 ",POINT (372338.868460091 4064632.53712714),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,19
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d4c,65608,APARCAMOTOS_022,Esq. con Cl. Mármoles,"CALLE ARMENGUAL DE LA MOTA, 43 ",POINT (372378.183078728 4064919.64171314),,,,laborables 8 a 22 h.,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d4d,80147,APARCAMOTOS_386,C/ Eduardo de Palacio esquina con C/ Frigiliana,"CALLE EDUARDO DE PALACIO, 2 ",POINT (370850.595730713 4062169.92826966),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d4e,65701,APARCAMOTOS_177,Esq. Casas de Campos,"CALLE BLASCO DE GARAY, 3 ",POINT (372962.465949301 4064323.51169263),,,,24 h.,,MUNICIPAL,No,No,30
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d4f,65812,APARCAMOTOS_295,,"PASAJE EGUILUZ, 2 ",POINT (371704.99966769 4063797.0005292),,,,,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d50,65815,APARCAMOTOS_021,Esq. con Cl. Enrique Scholtz,"CALLE ARMENGUAL DE LA MOTA, 26 ",POINT (372370.838970052 4064810.56402499),,,,Laborables 8 A 20 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d51,65734,APARCAMOTOS_236,A la altura del número 12,"PASEO DE LA FAROLA, 12 ",POINT (373794.719202387 4064337.38380295),,,,,,MUNICIPAL,No,No,29
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d52,65688,APARCAMOTOS_164,Esq. Av. Málaga Oloroso,"CALLE JEREZ PERCHET, 33 ",POINT (373452.469089697 4067686.39716592),,,,24 h.,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d53,78120,APARCAMOTOS_362,Esq. Domingo Lozano,"CALLE MORALES VILLARRUBIA, 22 ",POINT (371513.891493167 4065445.08533152),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d54,65771,APARCAMOTOS_310,,"AVENIDA DE JANE BOWLES, 1 ",POINT (372633.999982613 4067419.9998862),,,,,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d55,65659,APARCAMOTOS_124,Esq. con Cl. Jacinto Verdaguer,"CALLE JACINTO VERDAGUER, 16 ",POINT (372379.600478261 4063821.11144705),,,,24 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d56,65765,APARCAMOTOS_302,,"CALLE JOSÉ CALDERÓN, 24 ",POINT (362733.999709567 4065206.00029168),,,,,,MUNICIPAL,No,No,22
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d57,65742,APARCAMOTOS_245,Esq. Av. de Mayo,"PASEO IBÉRICO, 5 ",POINT (370656.528650918 4060232.66871625),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d58,75304,APARCAMOTOS_338,esquina con Avenida Jorge Luis Borges,"CALLE JOAQUÍN TURINA, 25 ",POINT (369332.53440749 4064846.65152737),,,,,,MUNICIPAL,No,No, 
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d59,65702,APARCAMOTOS_178,Esq. Escultor Marin Higuero,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 155 ",POINT (378175.530345851 4064882.95201101),,,,24 h,,MUNICIPAL,No,No,24
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d5a,65733,APARCAMOTOS_233,A la altura del nº 21A,"CALLE CERRAJA, 21A",POINT (366417.692846832 4067384.6407186),,,,,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d5b,65800,APARCAMOTOS_256,Esq. con Cl. Somera,"CALLE BARROSO, 13 ",POINT (372850.453117815 4064264.14607446),,,,24 h.,,MUNICIPAL,No,No,13
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d5c,65695,APARCAMOTOS_170,,"PLAZA DE JESÚS ""EL RICO"", 5 ",POINT (373481.156374075 4065025.76207366),,,,24 h.,,MUNICIPAL,No,No,105
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d5d,65750,APARCAMOTOS_253,Esq. con Alameda de Colón,"CALLE MARTÍNEZ CAMPOS, 20 ",POINT (372786.415161162 4064217.05113956),,,,24 h.,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d5e,65681,APARCAMOTOS_156,Puerta de Gimnasio.,"AVENIDA DE PARMÉNIDES, 7 ",POINT (367837.911172059 4065163.46107024),,,,24h,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d5f,65796,APARCAMOTOS_226,,"CALLE PALMA DEL RÍO, 2 ",POINT (370164.510214614 4061654.11324187),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d60,65748,APARCAMOTOS_247,Esq. Cl. Alemania,"CALLE CONCEJAL RODRÍGUEZ SORIA, 2 ",POINT (372784.279137553 4064007.25320508),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d61,65754,APARCAMOTOS_254,Esq. con Cl. San Lorenzo,"CALLE MARTÍNEZ CAMPOS, 17 ",POINT (372818.276911803 4064227.00800633),,,,24 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d62,65768,APARCAMOTOS_305,Esq. con Cl. Capulino Jauregui,"CALLE AYALA, 61 ",POINT (371744.000148014 4063223.00048393),,,,,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d63,65746,APARCAMOTOS_234,Esquina c/ Mendivil,"CALLE EGUILUZ, 10 ",POINT (371837.110431705 4063910.64440035),,,,,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d64,65792,APARCAMOTOS_235,Frente Cl. Dos Aceras,"CALLE REFINO, 37 ",POINT (373171.911322488 4065465.6459553),,,,Motos,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d65,65671,APARCAMOTOS_136,Esq. con Pasaje Noblejas,"CALLE SALITRE, 20 ",POINT (372508.702790397 4064034.5141114),,,,24 h.,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d66,65617,APARCAMOTOS_003,Esquina Casas de Campos,"CALLE CASAS DE CAMPOS, 35 ",POINT (372756.161687109 4064273.2040211),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d67,78442,APARCAMOTOS_372,"C/ Vega N.º 22, esquina con C/ Caño","CALLE DE LA VEGA, 22 ",POINT (365794.179453008 4059135.00941702),,,,,,MUNICIPAL,No,No,9
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d68,65607,APARCAMOTOS_217,Esq. con Cl. Juan Sebastian Bach,"CALLE JUAN SEBASTIÁN BACH, 5 ",POINT (370470.009733171 4062018.32902692),,,,24 h,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d69,65805,APARCAMOTOS_289,,"CALLE MALPICA, 12 ",POINT (372314.93341678 4064212.8658288),,,,,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d6a,65588,APARCAMOTOS_193,Esq. Jonas,"CALLE SANTA MARÍA MICAELA, 4 ",POINT (373464.978085192 4066033.42691463),,,,24 h,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d6b,65731,APARCAMOTOS_231,A la altura del nº 5,"CALLE SAN MILLÁN, 3 ",POINT (373185.55102078 4065530.13476498),,,,,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d6c,65629,APARCAMOTOS_053,Frente esquina c/ Arapiles,"CALLE SAN MILLÁN, 12 ",POINT (373225.635370945 4065745.69519061),,,,Lectivos 8 a 20 h.,,MUNICIPAL,No,No,24
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d6d,65638,APARCAMOTOS_081,Esq. Jurado de Parra,"CALLE PADRE LERCHUNDI, 3 ",POINT (378955.950072437 4064661.49646699),,,,24 h,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d6e,65732,APARCAMOTOS_232,A la altura del número 3,"CALLE DIEGO VÁZQUEZ OTERO, 6 ",POINT (371466.987629371 4064505.85252068),,,,,,MUNICIPAL,No,No,12
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d6f,65723,APARCAMOTOS_154,,"AVENIDA DE PRÍES, 10 ",POINT (374371.352549932 4064853.96869388),,,,24 h,,MUNICIPAL,No,No,7
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d70,65632,APARCAMOTOS_074,Esq. Avenida Juan Sebastián Elcano,"CALLE ARQUITECTO EDUARDO ESTEVE, 2 ",POINT (378281.537469132 4064824.96480993),,,,24 h.,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d71,65801,APARCAMOTOS_280,Esq. con Cl. Federica Montseny,"CALLE MAR, 20 ",POINT (378631.400512464 4064653.33370818),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d72,65740,APARCAMOTOS_240,Esq. Cl. Trinidad,"CALLE MALASAÑA, 3 ",POINT (372551.02580659 4065129.11467268),,,,24 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d73,65767,APARCAMOTOS_304,,"CALLE TOMÁS ECHEVERRÍA, 12 ",POINT (371940.000072774 4062889.00046809),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d74,65830,APARCAMOTOS_112,Esq. Plaza Reina Manescau,"CALLE MUÑOZ DEGRAIN, 2 ",POINT (371839.071041699 4063182.36684333),,,,Motos 8 a 20 h.,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d75,65601,APARCAMOTOS_210,Esq. Obispo José de Gómez,"CALLE OBISPO JOSÉ DE GÓMEZ, 2 ",POINT (373225.761218775 4066489.25240367),,,,24 h,,MUNICIPAL,No,No,9
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d76,65872,APARCAMOTOS_333,Esquina con Avda. Salvador Allende,"CALLE ARQUITECTO EDUARDO ESTEVE, 11 ",POINT (378273.999762683 4064675.00042003),,,,,,MUNICIPAL,No,No,32
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d77,65870,APARCAMOTOS_330,esquina con C/ Albéniz,"CALLE BOCANA, 2 ",POINT (373328.000033952 4066405.00038021),,,,,,MUNICIPAL,No,No,18
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d78,65720,APARCAMOTOS_149,,"CAMINO DE LA DESVIACIÓN, 18 ",POINT (376419.06149831 4065075.91543631),,,,24 h.,,MUNICIPAL,No,No,5
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d79,65656,APARCAMOTOS_070,Esq. Ingeniero José Maria Garnica,"CALLE CANALES, 22 ",POINT (372412.431408878 4063693.77175739),,,,Laborables 8 a 15 h.,,MUNICIPAL,No,No,30
