FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,poiid,lat,lon,altitude,address,telephone,email,categoryid,located,availabilitydefault,fs_id,fb_id,ta_id,url,hassec,poisecid,name_sec,description_sec,address_sec,latitude_sec,longitude_sec,category
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4139,74415,POINT (372492.4315755055 4064008.9220981104),Salitre,,,,,,-1,0,-1,,,1,36.7132149,-4.4276681,3.986444,Calle SalitreMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4138,74416,POINT (373911.97251267085 4064836.569817616),Cervantes,,,,,,-1,0,-1,,,2,36.7208633,-4.4119148,9.531203,Calle CervantesMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4137,74417,POINT (378484.40835996636 4064789.458802627),El Palo,,,,,,-1,0,-1,,,3,36.7210350,-4.3607192,8.069582,Calle Alonso Carrillo De AlbornozMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4136,74418,POINT (372495.3080152545 4064465.179097343),Av. de Andalucía,,,,,,-1,0,-1,,,4,36.7173271,-4.4277120,7.358632,Avenida De Andalucía -  Málaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4135,74419,POINT (372787.0993253046 4064780.418851761),Camas,,,,,,-1,0,-1,,,5,36.7202072,-4.4244981,7.589293,Calle Camas -  Málaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4134,74420,POINT (371307.2890809009 4063876.817165728),Cruz De Humilladero,,,,,,-1,0,-1,,,6,36.7118645,-4.4409118,9.336616,Plaza Cruz De HumilladeroMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4133,74421,POINT (373503.54850033065 4065016.575996107),Alcazaba,,,,,,-1,0,-1,,,8,36.7224312,-4.4165168,14.149522,Plaza La AlcazabaMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4132,74422,POINT (371999.0791444503 4064532.2746475944),San Juan De La Cruz,,,,,,-1,0,-1,,,9,36.7178650,-4.4332781,8.787301,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4131,74423,POINT (373180.0489240533 4064464.7456976147),Pz. de la Marina,,,,,,-1,0,-1,,,10,36.7174149,-4.4200468,3.109754,Plaza De La MarinaMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-4130,74424,POINT (373062.03730129404 4065152.641801109),Tejón y Rodriguez,,,,,,-1,0,-1,,,12,36.7235985,-4.4214821,10.485368,Calle Tejón Y RodriguezMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-412f,74425,POINT (833978.5569194646 0),Pío Baroja,,,,,,-1,0,-1,,,151,0.0000000,0.0000000,0.000000,Avenida Pío Baroja - El Palo -  Málaga (Málaga),,,1,0,1,,,,,1,,,,,,,
