id,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
4750,Alcampo II (Avda. Madrid),SARDOMA,RAVISO,AVDA MADRID,0,42.21496,-8.70209,36214,986417000,www.alcampo.es
4751,Alcampo I (Coia),VIGO,VIGO,RUA GROVE (O),1,42.21917,-8.74443,36209,986201010,www.alcampo.es
5405,Auditorio Mar de Vigo,,,AVDA BEIRAMAR,59,42.23137,-8.72095,36202,649660264,
4753,Praza Elíptica,VIGO,VIGO,PRAZA FRANCISCO FDEZ. DEL RIEGO,0,42.23143,-8.72093,36203,986485650,www.plazaeliptica.com
4754,Padre Feijoo,VIGO,VIGO,RUA PADRE FEIJOO,4,42.22928,-8.71745,36204,986420060,
4755,Velázquez Moreno,VIGO,VIGO,RUA VELAZQUEZ MORENO,19,42.23724,-8.72185,36202,986229933,
5407,Parking Vialia Estación de Vigo (exterior),VIGO,VIGO,RUA SAN LOURENZO,,42.23661,-8.70828,36201,986443542,https://www.vialiavigo.com
384,Roma e Compostela,VIGO,VIGO,PRAZA COMPOSTELA,16,42.23910,-8.72120,36201,986223510,
387,Parking Vigo,VIGO,VIGO,RUA AREAL,142,42.23937,-8.71033,36201,986132239,http://www.parkingvigo.es/es
388,Colón Centro,VIGO,VIGO,RUA COLON,28,42.23682,-8.72047,36201,986432695,
389,A Laxe (Centro Comercial),VIGO,VIGO,RUA CANOVAS DEL CASTILLO,1,42.24060,-8.72740,36202,986443788,
390,O Berbés,VIGO,VIGO,RUA RIBEIRA DO BERBÉS,0,42.23623,-8.71841,36202,986229376,
391,El Dorado,VIGO,VIGO,RUA URUGUAY,8,42.23639,-8.71917,36201,986223949,
392,Praza da Estrella,VIGO,VIGO,Plaza Estrella,0,42.23990,-8.71940,36201,986227277,
393,Praza do Rei,VIGO,VIGO,PRAZA PRAZA DO REI,0,42.23622,-8.72670,36202,986433299,http://www.masaveuaparcamientos.com/portfolio/parking-vigo-plaza-del-rey/
394,Príncipe,VIGO,VIGO,RUA EDUARDO IGLESIAS,11,42.23597,-8.72264,36202,986431657,
395,Mercado do Progreso,VIGO,VIGO,RUA PROGRESO,28,42.23560,-8.72260,36202,986113950,https://www.mercadoprogresovigo.com
396,Rosalía de Castro,VIGO,VIGO,RUA ROSALIA DE CASTRO,0,42.23806,-8.71806,36201,986438082,http://www.parkingrosaliadecastro.es/
399,Brasil,VIGO,VIGO,RUA BRASIL,35,42.23258,-8.71355,36204,986418367,
400,Fernando el Católico,VIGO,VIGO,PRAZA FERNANDO CATÓLICO,0,42.23243,-8.71151,36204,986472687,http://www.isoluxaparcamientos.com/es/donde-aparcar/aparcamiento-fernando-el-catolico.html
404,San Martín de Porres,VIGO,VIGO,RUA CORUÑA,44,42.22319,-8.73472,36208,986209316,
405,Praza Gallegos Ilustres,VIGO,VIGO,RUA PINTOR LAXEIRO,9,42.22239,-8.73064,36211,986237831,
406,Praza Independencia,VIGO,VIGO,PRAZA INDEPENDENCIA,0,42.22373,-8.73014,36211,986291949,https://plaza-america.parking.gal
407,AparcaT Camelias,VIGO,VIGO,PRAZA AMERICA,1,42.22151,-8.73270,36211,679180070,http://www.parkingaparca.com
409,Coruña,VIGO,VIGO,RUA CORUÑA,7,42.22229,-8.73437,36208,986410170,http://www.isoluxaparcamientos.com/es/donde-aparcar/aparcamiento-coruna.html
430,Garaje Avenida,VIGO,VIGO,RUA URZAIZ,209,42.23110,-8.70281,36205,986270098,http://garajeavenidavigo.es/
431,Jenaro (Plaza Maruja Mallo),VIGO,VIGO,PRAZA MARUJA MALLO,,42.23193,-8.70587,36206,986262673,
432,Caracas,VIGO,VIGO,RUA URZAIZ,128,42.23104,-8.70755,36205,986251879,
4756,Urzáiz,VIGO,VIGO,RUA URZAIZ,0,42.23542,-8.71871,36201,986442339,https://urzaiz.parking.gal
4757,Parking Central-,VIGO,VIGO,RUA DR. CADAVAL,29,42.23628,-8.72368,36202,986228187,
4759,Parking Náutico Cíes,VIGO,VIGO,RUA MONTERO RIOS,0,42.24075,-8.72523,36201,986269703,
4483,Parking Vialia Estación de Vigo (interior),VIGO,VIGO,PRAZA ESTACION,0,42.23408,-8.71415,36201,986443542,https://www.vialiavigo.com
4484,Parking general P1 - Aeroporto de Vigo (Peinador),CABRAL,PEINADOR,AVDA AEROPORTO,633,42.22536,-8.63295,36318,986268235,http://www.aena.es/es/aeropuerto-vigo/parking-general-p1.html
4749,El Corte Inglés,VIGO,VIGO,AVDA GRAN VIA,25,42.23219,-8.71756,36204,986415111,www.elcorteingles.es
4760,Salamanca,VIGO,VIGO,RUA SALAMANCA,12,42.22298,-8.72764,36211,,
4761,Pintor Colmeiro,Vigo,Vigo,RUA PINTOR COLMEIRO,0,42.22499,-8.72586,,986413419,https://colmeiro.parking.gal
4762,Aparcamiento Calvario,Vigo,Vigo,RUA JENARO DE LA FUENTE,0,42.23233,-8.70643,36206,,https://calvario.parking.gal
4763,Aparcamiento Praza de América,Vigo,Vigo,AVDA CASTELAO,16,42.22014,-8.73556,,,
4764,Policarpo Sanz,VIGO,VIGO,SRUA POLICARPO SANZ,22,42.23741,-8.72296,36202,986229404,https://policarpo.parking.gal
4767,Garage Colon 7 SL,VIGO,VIGO,RUA COLON,7,42.23864,-8.72040,36201,986439878,
4768,Montecarlo,VIGO,VIGO,RUA CONDESA CASA BARCENA,5,42.23186,-8.71098,36204,986420639,
4769,Garaje - Autoescuela Casablanca,VIGO,VIGO,RUA VENEZUELA,82,42.23102,-8.71568,36204,986412689,
4770,Gran Vía (Centro Comercial),FREIXEIRO,FREIXEIRO,RUA MIRADOIRO (DO),2,42.22039,-8.72426,36210,986447500,www.granviadevigo.com
4771,Travesía (Centro Comercial),VIGO,VIGO,RUA TRAVESIA DE VIGO,202,42.24276,-8.69661,36207,986277908,www.cctravesia.com
4773,Garajes Camelias,VIGO,VIGO,AVDA CAMELIAS,36,42.23137,-8.73000,36202,986484115,
