id,calle,numplazas,lon,lat
12615592,Estrada,1,-8.74427,42.22032
12615639,Fragoso,1,-8.73797,42.21350
12615673,Florida,1,-8.74157,42.21487
12615718,Garcia Olloqui,1,-8.72435,42.23993
12615752,Canceleiro,1,-8.71427,42.23757
12615813,Castrelos,1,-8.73090,42.20728
12615807,Via Norte,,-8.71212,42.23397
12615839,Zamora,1,-8.72584,42.22321
12615841,Orencio Perez Glez.(xuiz),1,-8.73457,42.22157
12615845,Orencio Perez Glez.(xuiz),1,-8.73454,42.22148
12615847,Orencio Perez Glez.(xuiz),1,-8.73456,42.22152
12615872,Zamora,1,-8.72202,42.22627
12615895,Redondela,,-8.74915,42.21715
12615932,Pega,,-8.70739,42.22828
12615933,Pega,,-8.70732,42.22826
12615971,Santa Tegra,,-8.70280,42.24959
12615972,Santa Tegra,,-8.70283,42.24954
12615987,Lalin,,-8.73651,42.22086
12616032,Fragoso,,-8.73410,42.21839
12616060,Republica Argentina,,-8.71781,42.23908
12616061,Republica Argentina,,-8.71779,42.23912
12616093,Fotografo Luis Ksado,1,-8.74329,42.21742
12616094,Fotografo Luis Ksado,1,-8.74321,42.21742
12616118,Conde Torrecedeira,,-8.73192,42.23284
12616138,Manuel Olivie,,-8.72250,42.22969
12616139,Manuel Olivie,,-8.72242,42.22969
12616168,Tomas A Alonso,,-8.73315,42.22717
12616184,Sanjurjo Badia,,-8.69873,42.24789
12616193,Sanjurjo Badia,,-8.70140,42.24620
12616194,Sanjurjo Badia,,-8.70134,42.24624
12616225,Honduras,,-8.71824,42.22904
12616226,Honduras,,-8.71826,42.22899
12616303,Travesia de Vigo,,-8.69988,42.24242
12616352,Dr. Angel Ilarri,1,-8.72792,42.21395
12616353,Dr. Angel Ilarri,1,-8.72792,42.21399
12616376,Lopez Mora,1,-8.73224,42.22498
12616377,Lopez Mora,1,-8.73230,42.22493
12616398,Pintor Laxeiro,1,-8.73176,42.22309
12616399,Pintor Laxeiro,1,-8.73156,42.22287
12616414,E. Mtnez Garrido- Alcalde,,-8.70616,42.22479
12616416,E. Mtnez Garrido- Alcalde,,-8.70623,42.22476
12616428,Pi y Margall,1,-8.72946,42.23481
12616429,Pi y Margall,1,-8.72943,42.23486
12616490,Menendez Pelayo,,-8.73104,42.23071
12616533,Marqués De Valladares,1,-8.72375,42.23833
12616534,Marqués De Valladares,1,-8.72369,42.23833
12616549,Conde Torrecedeira,1,-8.73373,42.22797
12616550,Conde Torrecedeira,1,-8.73369,42.22801
12616551,Conde Torrecedeira,1,-8.73353,42.22821
12616577,Travesia de Vigo,,-8.70326,42.23757
12616578,Travesia de Vigo,,-8.70324,42.23751
12616630,Santa Cristina,,-8.69433,42.22808
12616641,Samil,1,-8.77406,42.21223
12616642,Samil,1,-8.77407,42.21226
12616643,Samil,1,-8.77407,42.21229
12616651,Enciño,1,-8.71333,42.22404
12616668,Puerto Rico,,-8.71685,42.22860
12616669,Puerto Rico,,-8.71693,42.22861
12616691,Travesia de Vigo,,-8.70247,42.24092
12616692,Travesia de Vigo,,-8.70251,42.24087
