ID_HORARI,CODI_HORARI,DESCRIPCIO,DESC_CURTA,INCLUS_FESTIUS,PARQUING_SOLS_DINS_HORARI
1,"H1","de Dl a Ds de 09:00 a 14:00 i de 16:00  a 20:00","de Dl a Ds 9-14 i 16-20",0,0
2,"H2","de Dl a Dv de 09:00 a 14:00 i de 16:00  a 20:00","de Dl a Dv 9-14 i 16-20",0,0
3,"H3","de Dl a Dv de 09:00 a 14:00 i de 16:00  a 20:00, Ds de 09:00 a 14:00","de Dl a Dv 9-14 i 16-20 Ds 9-14",0,0
6,"H6","de Dl a Dv de 09:00 a 14:00","de Dl a Dv 9-14",0,0
7,"H7","de Dl a Dv de 09:30 a 14:00 i de 16:30  a 20:00","de Dl a Dv 9:30-14 i 16:30-20",0,0
11,"H8","FUTBOL: de Dl a Dv de 09:00 a 14:00 i de 16:00  a 20:00 (excepte festes Fútbol).","de Dl a Dv 9-14 i 16-20 excepte futbol",0,0
12,"H4","de Dl a Ds de 08:00 a 20:00","de Dl a Ds 8-20",0,0
13,"H5","de Dl a Dv de 08:00 a 20:00","de Dl a Dv 8-20",0,0
17,"B4","de Dl a Ds de 08:00 a 20:00","de Dl a Ds 8-20",0,0
18,"H9","de Dl a Dg de 09:00 a 14:00 i de 16:00  a 20:00 - inclòs festius","de Dl a Dg 9-14 i 16-20 inclòs festius",1,0
19,"H10","de Dl a Ds de 09:30 a 18:00","de Dl a Ds 9:30-18",0,0
20,"H11","de Dl a Ds de 09:00 a 14:00. Dv de 16:00  a 20:00","de Dl a Ds 9-14 i Dv 16-20",0,0
22,"H12","de Dl a Ds de 09:30 a 18:00. Diumenges i festius de 09:30 a 15:00","de Dl a Ds 9:30-18 i Dg i Fest 9:30-15",1,0
24,"H13","de Dl a Ds de 08:00 a 20:00. Diumenges i festius de 08:00 a 15:00","de Dl a Ds 8-20 Dg i Fest 8-15",1,0
25,"H14","de Dl a Dg de 10:00 a 17:00 inclòs festius.","de Dl a Dg 10-17 inclòs festius",1,0
26,"Z2","de Dl a Dv de 08:00 a 20:00","de Dl a Dv 8-20",0,0
27,"Z4","de Dl a Ds de 08:00 a 11:00 i de 15:00  a 17:00","de Dl a Ds 8-11 i 15-17",0,1
28,"Z1","de Dl a Ds de 08:00 a 20:00","de Dl a Ds 8-20",0,0
29,"Z3","de Dl a Dv de 08:00 a 20:00, Ds de 08:00 a 14:00","de Dl a Dv 8-20 Ds 8-14",0,0
30,"Z5","de Dl a Dv de 08:00 a 11:00 i de 15:00  a 17:00","de Dl a Dv 8-11 i 15-17",0,1
31,"Z6","de Dl a Ds de 07:00 a 20:00","de Dl a Ds 7-20",0,0
32,"Z7","de Dl a Dv de 07:00 a 20:00","de Dl a Dv 7-20",0,0
33,"Z8","de Dl a Dv de 07:00 a 20:00, Ds de 07:00 a 14:00","de Dl a Dv 7-20 Ds 7-14",0,0
34,"Z9","de Dl a Dv de 07:00 a 20:00, Ds de 07:00 a 15:00","de Dl a Dv 7-20 Ds 7-15",0,0
35,"Z10","de Dl a Ds de 06:00 a 20:00","de Dl a Ds 6-20",0,0
36,"Z11","de Dl a Dv de 06:00 a 20:00","de Dl a Dv 6-20",0,0
37,"Z12","de Dl a Dv de 06:00 a 20:00, Ds 06:00 a 14:00","de Dl a Dv 6-20 Ds 6-14",0,0
38,"Z13","de Dl a Dv de 06:00 a 20:00, Ds 06:00 a 15:00","de Dl a Dv 6-20 Ds 6-15",0,0
39,"Z14","de Dl a Dv de 05:00 a 20:00, Ds 05:00 a 14:00","de Dl a Dv 5-20 Ds 5-14",0,0
