ID_TARIFA,ID_TIPUS_CONFIGURACIO,ID_TIPUS_TARIFA,CODI_TARIFA,TIPUS_FRACCIO,TEMPS_MAXIM,TEMPS_MINIM,DESCRIPCIO,DESC_CURTA,IMPORT_FRACCIO,IMPORT_MAXIM
46,1,1,"A","1",2,0,"2,50 euros/hora Temp.max Est. 2 hores","2,50 E/h <= 2h","2.5","5"
47,1,1,"B","1",2,0,"2,25 euros/hora Temp.max Est. 2 hores","2,25 E/h <= 2h","2.25","4.5"
48,1,1,"C","1",3,0,"1,96 euros/hora Temp.max Est. 3 hores","1,96 E/h <= 3h","1.96","5.88"
49,1,1,"D","1",4,0,"1,08 euros/hora Temp.max Est. 4 hores","1,08 E/h <= 4h","1.08","4.32"
52,2,2,"RES","2",20,1,"0,20 euros/dia Temp.max Est. 20 dies laborables","0,20 E/d <= 20d",".2","4"
53,3,3,"MA1","1",1,0,"3,00 euros/hora Temp.max Est. 1 hores","3,00 E/h <= 1h","3","3"
54,3,3,"MA2","1",2,0,"3,00 euros/hora Temp.max Est. 2 hores","3,00 E/h <= 2h","3","6"
55,3,3,"MB1","1",1,0,"2,75 euros/hora Temp.max Est. 1 hores","2,75 E/h <= 1h","2.75","2.75"
56,3,3,"MB2","1",2,0,"2,75 euros/hora Temp.max Est. 2 hores","2,75 E/h <= 2h","2.75","5.5"
57,5,5,"BU2","1",2,0,"2,45 euros/hora Temp.Max.Est. 2 hores","2,45 E/h <= 2h","2.45","4.9"
58,7,7,"CYD","0",30,0,"AREADUM temps.max.Est.30min","0 E/h <= 30min","0","0"
59,5,5,"BU1","1",2,0,"5,30 euros/hora Temp.Max.Est. 2 hores","5,30 E/h <= 2h","5.3","10.6"
60,14,14,"GRA1","1",1,0,"2,5 euros/hora Temp.max Est. 1 hores","2,5 E/h <= 1","2.5","2.5"
61,14,14,"GRA2","1",2,0,"2,5 euros/hora Temp.max Est. 2 hores","2,5 E/h <= 2","2.5","5"
62,8,8,"EDM1","0",10,0,"tarifa gratuita durant 10 minuts per encotxament/desencotxament","E/D 0e <=10min","0","0"
63,8,8,"EDH1","1",2,0,"tarifa gratuita durant 2 hores per encotxament/desencotxament","E/D 0e <= 2h","0","0"
64,5,5,"BU3","1",2,0,"6 euros/hora Temp.Max.Est. 2 hores","6 E/h <= 2h","6","12"
65,5,5,"BU4","1",2,0,"3 euros/hora Temp.Max.Est. 2 hores","3 E/h <= 2h","3","6"
66,5,5,"BUA1","1",2,0,"6 euros/hora Temp.Max.Est. 2 hores","6 E/h <= 2h","6","12"
67,5,5,"BUAV","1",2,0,"VARIABLE: 6 ó 9 euros/hora Temp.Max.Est. 2 hores; de MARÇ a OCTB 6 E/h, menys de 11:00 a 16:00 9 E/h","6 ó 9 E/h <= 2h","6","12"
68,5,5,"BUB3","1",24,0,"3 euros/hora. Sense limit de temps","3 E/h","3","72"
69,15,15,"BUFM","2",24,0,"20E/Función, 30E/2 funciones ","20 E/F, 30 E/2F","20","480"
72,5,5,"BUB4","1",12,0,"4,45 euros/hora. Sense limit de temps","4,45 E/h","4.45","53.4"
73,5,5,"BUA2","1",2,0,"13.40 euros/hora. Temp.Max.Est. 2 hores","13,40 E/h","13.4","26.8"
74,8,8,"EDM2","0",10,0,"tarifa fixa 2,8E durant 10 minuts per encotxament/desencotxament","E/D 2,8E<=10min","2.8","28"
75,14,14,"GRB1","1",1,0,"2,5 euros/hora Temp.max Est. 1 hores","2,5 E/h <= 1","2.5","2.5"
76,14,14,"GRB2","1",2,0,"2,5 euros/hora Temp.max Est. 2 hores","2,5 E/h <= 2","2.5","5"
