ID_TRAM,UTM_IX,UTM_FX,UTM_IY,UTM_FY,LATITUD_I,LONGITUD_I,LATITUD_F,LONGITUD_F,ID_TARIFA,ID_HORARIO,ID_TARIFA1,ID_HORARIO1,TIPUS_TRAM,ADREÇA,COLOR_RGB,PLACES
7," 431371.206"," 431359.176"," 4582803.652"," 4582803.655","41.393835137424","2.17906934937","41.39383413787","2.178925470618",46,82,,82,"AZL","ROGER DE FLOR, 79, C","0000FF",5
8," 431322.330"," 431311.483"," 4582399.137"," 4582420.894","41.390187728711","2.178530657554","41.390382755548","2.17839846809",52,76,,76,"VR","LLUIS EL PIADOS, 9 , C","008000",10
13," 431288.758"," 431273.443"," 4582305.752"," 4582322.247","41.389343795848","2.17813975191","41.389491048696","2.177954726381",46,81,,81,"AZL","MENDEZ NUÑEZ, 9, C","0000FF",9
14," 431301.693"," 431288.550"," 4582318.450"," 4582330.947","41.389459264318","2.178293003487","41.389570695212","2.178134406787",46,81,,81,"AZL","MENDEZ NUÑEZ, 4, C","0000FF",3
19," 431498.403"," 431489.250"," 4582755.634"," 4582746.776","41.393413509752","2.180596052558","41.393332951167","2.180487585578",54,13,52,13,"VM","ALI BEI, 42, C","00FF00",8
19," 431510.599"," 431501.423"," 4582767.432"," 4582758.424","41.393520806279","2.180740581368","41.393438894904","2.180631855917",54,13,52,13,"VM","ALI BEI, 42, C","00FF00",8
19," 431519.465"," 431513.520"," 4582776.011"," 4582770.258","41.393598827397","2.180845648017","41.393546507189","2.180775196739",54,13,52,13,"VM","ALI BEI, 42, C","00FF00",8
22," 431482.693"," 431484.089"," 4582184.467"," 4582191.967","41.3882679914","2.180472765961","41.388335658615","2.180488612476",52,95,,95,"VR","PORTAL NOU, 53 , C","008000",21
22," 431485.509"," 431485.906"," 4582202.119"," 4582197.254","41.388427212956","2.180504446127","41.388383430427","2.180509744017",52,95,,95,"VR","PORTAL NOU, 53 , C","008000",21
22," 431486.855"," 431490.637"," 4582204.317"," 4582230.799","41.388447123751","2.18052029435","41.38868595444","2.180562528606",52,95,,95,"VR","PORTAL NOU, 53 , C","008000",21
22," 431492.602"," 431500.844"," 4582251.995"," 4582282.856","41.38887702232","2.180583631263","41.389155671968","2.180678708501",52,95,,95,"VR","PORTAL NOU, 53 , C","008000",21
22," 431505.889"," 431508.672"," 4582302.697"," 4582316.814","41.389334798344","2.180736799009","41.38946217923","2.1807684853",52,95,,95,"VR","PORTAL NOU, 53 , C","008000",21
25," 431561.764"," 431574.194"," 4582222.733"," 4582172.506","41.38861936272","2.181414049752","41.388168053414","2.181568373135",52,95,,95,"VR","COMERÇ, 7, C","008000",22
25," 431575.125"," 431580.433"," 4582168.745"," 4582147.294","41.388134259363","2.181579931672","41.387941513569","2.181645832146",52,95,,95,"VR","COMERÇ, 7, C","008000",22
25," 431582.350"," 431584.091"," 4582141.207"," 4582134.174","41.387886854373","2.181669444732","41.387823660106","2.181691059341",52,95,,95,"VR","COMERÇ, 7, C","008000",22
25," 431584.091"," 431586.366"," 4582134.174"," 4582134.737","41.387823660106","2.181691059341","41.387828924208","2.181718202207",52,95,,95,"VR","COMERÇ, 7, C","008000",22
