Gis_X;Gis_Y;Distrito;Barrio;Calle;Nº Finca;Color;Batería/Línea;Número de Plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;Verde;Línea;8
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;Verde;Línea;5
439589,03;4473513,61;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;1;Verde;Línea;2
439582,95;4473504,86;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;4;Verde;Línea;2
439575,66;4473494,71;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;5;Verde;Línea;3
439558,08;4473470,66;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;Verde;Línea;8
439537,84;4473430,69;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;15;Verde;Línea;4
439527,41;4473408,46;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;19;Verde;Línea;4
439592,51;4473916,53;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;Verde;Línea;2
439603,34;4473917,1;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;Verde;Línea;3
439096,97;4473640,85;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;4
439086,61;4473635,27;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;1
439124,78;4473639,69;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;4;Verde;Línea;13
439129,22;4473643,88;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;Verde;Línea;6
439861,24;4473828,67;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;1;Verde;Línea;2
439826,99;4473821,25;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;3;Verde;Línea;3
439843,68;4473824,44;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;Verde;Línea;1
439791,68;4473810,84;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;9;Verde;Línea;2
439773,8;4473802,96;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;11;Verde;Línea;4
439747,7;4474317,28;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;Verde;Línea;4
439710,1;4474308,37;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;Verde;Línea;3
439669,26;4474298,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;9;Verde;Línea;4
439502,54;4473486,08;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;Verde;Línea;4
439901,66;4474452,11;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;4;Verde;Línea;10
439915,82;4474488,57;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;9;Verde;Línea;4
439933,29;4474565,32;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;Verde;Línea;4
439773,59;4474460,53;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;2;Verde;Línea;4
439709,56;4474502,06;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;Verde;Línea;2
439673,43;4474540,44;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;Verde;Línea;3
439350,59;4473875;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;Verde;Línea;2
439308,9;4473739,45;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;6;Verde;Línea;19
439259,13;4473850,22;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;35
439397,36;4473898,54;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;17
439720,65;4473414,63;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;Verde;Línea;3
439705,15;4473420,04;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;4;Verde;Línea;12
439677,97;4473419,03;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;9;Verde;Línea;17
439631,99;4473424,19;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;Verde;Línea;2
439596,72;4473427,48;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;Verde;Línea;8
439571,35;4473437,92;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;22;Verde;Línea;10
439562,42;4473437,26;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;Verde;Línea;6
439515,95;4473460,06;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;Verde;Línea;11
439513,07;4473457,45;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;Verde;Línea;11
439472,83;4473512,59;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;13
439465,41;4473515,91;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;11
439481,7;4473483,2;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;Verde;Línea;3
439807,68;4474477,32;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;4;Verde;Línea;4
439821,75;4474501,33;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;5;Verde;Línea;4
439831,73;4474526,87;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;9;Verde;Línea;1
439833,69;4474539,13;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;11;Verde;Línea;4
439833,14;4474562,65;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;13;Verde;Línea;6
439875,81;4474479,15;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;Verde;Línea;14
439504,5;4473884,52;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;2;Verde;Línea;6
439497,79;4473881,32;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;3;Verde;Línea;4
439910,74;4473770,38;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;5;Verde;Línea;6
439837,07;4473753,4;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;14;Verde;Línea;12
439755,99;4473708,19;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;34;Verde;Línea;8
439908,47;4473895,07;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;4;Verde;Línea;3
439896,62;4473871,76;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;8;Verde;Línea;6
439886,99;4473853,01;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;12;Verde;Línea;1
439880,56;4473840,22;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;16;Verde;Línea;2
439869,05;4473818,29;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;18;Verde;Línea;2
439771,07;4473737,16;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;37;Azul;Línea;14
439732,53;4473715,48;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;47;Azul;Línea;4
439869,88;4474113,79;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;3;Verde;Línea;3
439825,87;4473561,16;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;1
439787,14;4473588,95;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;5
439754,91;4473586,46;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;5;Verde;Línea;9
439810,74;4473571,88;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;S/N;Verde;Línea;6
439857,2;4473654,4;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;2;Azul;Batería;10
439836,95;4473657,36;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;Azul;Batería;6
