"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00000200";"CALLE                   ";"DE LA ";"ABADA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000163"
"00000200";"CALLE                   ";"DE LA ";"ABADA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000163"
"00000300";"CALLE                   ";"DE LOS";"ABADES                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000012"
"00000300";"CALLE                   ";"DE LOS";"ABADES                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000012"
"00000400";"CALLE                   ";"DE LA ";"ABADESA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000065"
"00000400";"CALLE                   ";"DE LA ";"ABADESA                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000065"
"00000600";"CALLE                   ";"DE    ";"ABALOS                                          ";"impar";"NUM";"000001";"  ";"000005";"  ";"000156"
"00000600";"CALLE                   ";"DE    ";"ABALOS                                          ";"par  ";"NUM";"000004";"  ";"000004";"  ";"000156"
"00000703";"CALLE                   ";"DE    ";"FEDERICO MORENO TORROBA                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000032"
"00000703";"CALLE                   ";"DE    ";"FEDERICO MORENO TORROBA                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000032"
"00000704";"PLAZA                   ";"DE    ";"ANDRES SEGOVIA                                  ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00000704";"PLAZA                   ";"DE    ";"ANDRES SEGOVIA                                  ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00000705";"CALLE                   ";"DEL   ";"CONCEJAL BENITO MARTIN LOZANO                   ";"impar";"NUM";"000001";"  ";"000999";"  ";"000022"
"00000705";"CALLE                   ";"DEL   ";"CONCEJAL BENITO MARTIN LOZANO                   ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000022"
"00000716";"CALLE                   ";"DE    ";"FRANCISCO GIRALTE                               ";"impar";"NUM";"000001";"  ";"000999";"  ";"000052"
"00000716";"CALLE                   ";"DE    ";"FRANCISCO GIRALTE                               ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000052"
"00000717";"CALLE                   ";"DEL   ";"CARDENAL MARCELO SPINOLA                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000056"
"00000717";"CALLE                   ";"DEL   ";"CARDENAL MARCELO SPINOLA                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000056"
"00000718";"CALLE                   ";"DE    ";"JOSEP PLA                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00000718";"CALLE                   ";"DE    ";"JOSEP PLA                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00000723";"CALLE                   ";"DEL   ";"HELECHO                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000051"
"00000723";"CALLE                   ";"DEL   ";"HELECHO                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000051"
"00000729";"CALLE                   ";"DE    ";"PEDRO MORENO                                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000063"
"00000729";"CALLE                   ";"DE    ";"PEDRO MORENO                                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000063"
"00000730";"CALLE                   ";"DE    ";"FRANCISCO GINER DE LOS RIOS                     ";"impar";"NUM";"000001";"  ";"000013";"  ";"000155"
"00000730";"CALLE                   ";"DE    ";"FRANCISCO GINER DE LOS RIOS                     ";"par  ";"NUM";"000002";"  ";"000016";"  ";"000155"
"00000731";"COSTANILLA              ";"DEL   ";"CALERO                                          ";"impar";"NUM";"000001";"  ";"000005";"  ";"000155"
"00000731";"COSTANILLA              ";"DEL   ";"CALERO                                          ";"par  ";"NUM";"000002";"  ";"000006";"  ";"000155"
"00000732";"TRAVESIA                ";"DE    ";"CESAR GONZALEZ RUANO                            ";"impar";"NUM";"000001";"  ";"099999";"  ";"000155"
"00000732";"TRAVESIA                ";"DE    ";"CESAR GONZALEZ RUANO                            ";"par  ";"NUM";"000002";"  ";"099998";"  ";"000155"
"00000733";"CALLE                   ";"DE    ";"LUIS CERNUDA                                    ";"impar";"NUM";"000001";"  ";"000005";"  ";"000155"
"00000733";"CALLE                   ";"DE    ";"LUIS CERNUDA                                    ";"par  ";"NUM";"000002";"  ";"000030";"  ";"000155"
"00000734";"CALLE                   ";"DE    ";"FERNANDO PESSOA                                 ";"impar";"NUM";"000001";"  ";"000005";"  ";"000155"
"00000734";"CALLE                   ";"DE    ";"FERNANDO PESSOA                                 ";"par  ";"NUM";"000002";"  ";"000006";"  ";"000155"
"00000735";"CALLE                   ";"DE LA ";"ELECTRONICA                                     ";"impar";"NUM";"000001";"  ";"000005";"  ";"000155"
"00000735";"CALLE                   ";"DE LA ";"ELECTRONICA                                     ";"par  ";"NUM";"000002";"  ";"000008";"  ";"000155"
"00000736";"CALLE                   ";"DEL   ";"PADRE COLOMA                                    ";"impar";"NUM";"000001";"  ";"000015";"  ";"000155"
"00000736";"CALLE                   ";"DEL   ";"PADRE COLOMA                                    ";"par  ";"NUM";"000002";"  ";"000016";"  ";"000155"
