FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f92,65998,APARCABICIS_217,Frente a Carril de los Niños.,"CARRIL DE CASTELL, 23 ",POINT (374793.57398567 4065356.27104485),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f93,66088,APARCABICIS_298,Esq. Cl. Peinado,"CALLE EDUARDO DOMÍNGUEZ ÁVILA, 19 ",POINT (373063.643026174 4065994.5453474),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f94,65996,APARCABICIS_186,Esquina c/ Mar.,"PLAZA NIÑO DE LAS MORAS, 4 ",POINT (378607.9429513 4064618.04854184),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f95,66061,APARCABICIS_268,A la altura del número 18,"CALLE REAL, 18 ",POINT (378646.371738611 4064839.75493038),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f96,65999,APARCABICIS_229,Frente a Colegio San Estanislao de Kostka.,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 170 ",POINT (378354.123919688 4064809.95156696),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f97,66123,APARCABICIS_325,Esq. Plaza Cristo del Amor,"CALLE FERNANDO EL CATÓLICO, 2 ",POINT (373759.647658538 4065765.90348837),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f98,65974,APARCABICIS_051,A la altura del Polideportivo la Mosca,"CALLE EUCALIPTUS, 18 ",POINT (377574.72770875 4065644.0585491),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f99,66005,APARCABICIS_233,Puerta del Conservatorio de Música Manuel Carra.,"AVENIDA DE JACINTO BENAVENTE, 13 ",POINT (372830.699844618 4068077.44835446),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f9a,65885,APARCABICIS_338,,"CALLE BARROSO, 7 ",POINT (372934.000185537 4064289.00009046),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f9b,78125,APARCABICIS_345,,"CALLE ALCALDE JOAQUÍN QUILES, 31 ",POINT (373522.224115278 4068021.69864904),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f9c,65988,APARCABICIS_206,Junto a Oficina de Turismo.,"PLAZA DE LA MARINA, 11 ",POINT (373151.817951465 4064471.83316786),,,,,,MUNICIPAL,No,No,16,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f9d,66049,APARCABICIS_257,A la altura del Paseo de Levante,"PASEO DE LA FAROLA, 21 ",POINT (373683.242554624 4064029.44516644),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f9e,66019,APARCABICIS_203,Puerta del Colegio Manolo Garvayo,"CALLE ENCARNACIÓN FONTIVEROS, 4 ",POINT (370702.135740221 4065499.73631764),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_f9f,66037,APARCABICIS_216,Glorieta Antonio Molina,"GLORIETA ANTONIO MOLINA, 1 ",POINT (371742.438923765 4062570.74554696),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fa0,66036,APARCABICIS_215,Junto aparatos de gimnasia,"GLORIETA ANTONIO MOLINA, 1 ",POINT (371753.465811727 4062585.11647307),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fa1,65911,APARCABICIS_135,Esquina con Gta. Antonio Molina,"GLORIETA ANTONIO MOLINA, 1 ",POINT (371730.198406006 4062548.64438878),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fa2,65907,APARCABICIS_112,Frente al C.E.P Pablo Ruiz Picasso,"CALLE HONDURAS, 6 ",POINT (371839.794827993 4064809.85847611),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fa3,66023,APARCABICIS_220,Junto al Campo de Fútbol,"CALLE LA ARGENTINITA, 6 ",POINT (370903.745543407 4065185.75702395),,,,,,MUNICIPAL,No,No,4,2084
