FID,ID_EQUIPAMIENTO,TOOLTIP,FINALIDAD,SDOPUNTO
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd3,4,Aparcamiento Tejón y Rodríguez,"<li>262 Plazas Públicas a Rotación.
<li>0 Plazas Libres.",POINT (373068.2811218938 4065139.3865822465)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd4,6,Aparcamiento Plaza de la Marina,"<li>450 Plazas Públicas a Rotación.
<li>0 Plazas Libres.
",POINT (373177.3387667097 4064481.982555069)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd5,170,Aparcamiento San Juan de la Cruz,"<li>702 Plazas Públicas a Rotación.
<li>0 Plazas Libres.",POINT (372066.2498765832 4064555.1135270917)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd6,172,Aparcamiento Carlos Haya,"<li>455 Plazas Públicas a Rotación.
<li>43 Plazas Libres.",POINT (370598.4809579085 4064965.5573715246)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd7,260,Aparcamiento Cruz de Humilladero (Plaza Cruz de Humilladero),237 plazas públicas a rotación. ,POINT (371302.1999775663 4063884.14820901)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd8,1460,Aparcamiento Andalucía,"<li>621 Plazas en Rotación.
<li>287 Plazas para Residentes.
<li>Nº Plazas Libres: 0",POINT (372472.2206103814 4064462.50252104)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cd9,1828,Aparcamiento El Palo,"Nº Plazas Rotación: 135.
Nº Plazas Residentes: 149.
Nº Plazas Libres: 0",POINT (378474.44218950695 4064784.593706213)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cda,1867,Aparcamiento Cervantes,"436 plazas públicas a rotación.
424 plazas residentes.
Número de plazas libres:0.",POINT (374089.82493389514 4064813.5978077753)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cdb,3463,Aparcamiento Salitre Rotacion,443 plazas en rotacion,POINT (372541.3276389509 4064064.227298576)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cdc,4160,APARCAMIENTO ALCAZABA,APARCAMIENTO EN ROTACION. ABONOS MENSUALES. TARJETA MULTIPARNKG. BONOS DESCUENTO PARA COMERCIOS Y HOSTELERIA,POINT (373514.78854597546 4065010.71501865)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cdd,4161,APARCAMIENTO P. MARINA,"APARCAMIENTO EN ROTACION. ABONOS MENSUALES NOCTURNOS. TARJETA MULTIPARKING, BONOS DESCUENTO COMERCIOS, HOTELES Y HOSTELERIA",POINT (373175.32233012485 4064466.4777416093)
da_aparcamientosRotacion.fid--175d4967_1a00d8c2402_cde,4164,APARCAMIENTO CAMAS,APARCAMIENTO DE ROTACION. ABONOS MENSUALES DISTINTOS HORARIOS. TARJETA MULTIPARKING. BONOS DESCUENTO COMERCIO Y HOSTELERIA,POINT (372786.0105435648 4064718.593247387)
