FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f7c,77785,APARCAPMR_1340,"Paseo Cerrado de Calderón, nº 18","PASEO CERRADO DE CALDERÓN, 18 ",POINT (376631.01216743 4065383.98199543),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f7b,66988,APARCAPMR_412,No hay más datos,"AVENIDA DEL MAYORAZGO, 10 ",POINT (375276.222225103 4065961.34231138),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f7a,67044,APARCAPMR_234,Junto al puente,"AVENIDA DEL MAYORAZGO, 19 ",POINT (375268.140724821 4065969.80867105),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f79,67061,APARCAPMR_339,A la altura del nº 4,"PASEO CERRADO DE CALDERÓN, 2 ",POINT (376511.8612563 4064931.51985364),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f78,67154,APARCAPMR_089,Esquina con c/ Gerona,"CALLE ASALTO, 20 ",POINT (371610.959749688 4064149.93060631),,,,,,MUNICIPAL,No,No,3,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f77,66996,APARCAPMR_425,Esquina con Avenida Santiago Ramón y Cajal (frente al parque),"AVENIDA DE GUERRERO STRACHAN, 2 ",POINT (372827.296378239 4066702.95367016),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f76,66711,APARCAPMR_329,Esquina con c/ Argentea. Frente al nº 12,"CALLE GUSTAVO GARCÍA HERRERA, 12 ",POINT (371316.138105982 4064817.00277555),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f75,67214,APARCAPMR_355,Esquina con c/ Zenete,"CALLE MANRIQUE, 18 ",POINT (373595.730622163 4065858.69769792),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f74,78437,APARCAPMR_1389,C/ Lanuza esquina con C/ Diego de Vergara,"CALLE LANUZA, 9 ",POINT (371910.911295422 4065033.48638494),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f73,67069,APARCAPMR_262,Esquina con c/ San Juan Bosco,"CALLE ALBÉNIZ, 28 ",POINT (372990.790316336 4066380.73286383),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f72,66367,APARCAPMR_853,,"AVENIDA DE LA PALOMA, 44 ",POINT (370953.911407363 4062784.76833073),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f71,67126,APARCAPMR_083,Esquina con Cl. Poeta Bernardo de la Torre,"CALLE POETISA AURORA CÁNOVAS, 4 ",POINT (372052.812483141 4066148.25935281),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f70,79307,APARCAPMR_1422,"Avenida Manuel Gorría, nº 63","AVENIDA DE MANUEL GORRÍA, 63 ",POINT (373419.506749962 4066615.69425939),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f6f,66494,APARCAPMR_691,Esquina con Cl. Lágrima,"CALLE LÁGRIMA, 9 ",POINT (373593.074549765 4067684.1653414),,,,,,MUNICIPAL,No,No,3,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f6e,66415,APARCAPMR_1076,Esq. con Glorieta Lourdes Martín Casares,"CAMINO COLMENAR, 39 ",POINT (373579.007302993 4066557.25778772),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f6d,66690,APARCAPMR_572,Esquina con c/ Regimiento,"CALLE MIGUEL DE UNAMUNO, 9 ",POINT (373225.760102043 4065918.02256014),,,,,,MUNICIPAL,No,No,4,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f6c,76893,APARCAPMR_698,,"AVENIDA DE MANUEL GORRÍA, 28 ",POINT (373359.127383625 4066605.62341797),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f6b,66142,APARCAPMR_823,,"CAMINO COLMENAR, 38 ",POINT (373578.729306845 4066435.75819774),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f6a,66259,APARCAPMR_1162,,"CALLE DOÑA, 51 ",POINT (373266.999963694 4066175.00028989),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f69,66849,APARCAPMR_902,Esquina con c/ Zenete.,"CALLE CRISTO DE LA EPIDEMIA, 58 ",POINT (373655.918772775 4065881.24898241),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f68,66535,APARCAPMR_605,Esquina con c/ Sacromonte,"AVENIDA DE MANUEL GORRÍA, 15 ",POINT (373077.80656234 4066562.20538895),,,,,,MUNICIPAL,No,No,3,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f67,67191,APARCAPMR_265,A la altura del nº 42,"AVENIDA DE MANUEL GORRÍA, 42 ",POINT (373533.010749236 4066542.22328277),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f66,80909,APARCAPMR_549,Esquina con Valparaiso,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 193 ",POINT (378464.448826862 4064806.72742898),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f65,66944,APARCAPMR_497,Entrada al Castillo de Gibralfaro,"CAMINO GIBRALFARO, 11 ",POINT (374039.065189824 4065103.30782979),,,,,,MUNICIPAL,No,No,3,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f64,67200,APARCAPMR_098,A la altura del nº 72,"CALLE CONDE DE UREÑA, 72 ",POINT (374162.620250246 4065749.85553089),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f63,66591,APARCAPMR_992,Esq. Cl. Mendoza Tenorio.,"CALLE JOSÉ TALLAVI, 5 ",POINT (373044.012999116 4067072.61622243),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f62,66636,APARCAPMR_067,Esquina con Av. Santiago Ramón y Cajal,"CALLE LEONCIO TALAVERA, 2 ",POINT (372912.849911441 4066866.55147687),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f61,67071,APARCAPMR_186,Esquina con c/ Alcalde Nicolás Maroto,"CALLE ALCALDE NICOLÁS MAROTO, 17 ",POINT (373493.067880292 4067999.12620889),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f60,78440,APARCAPMR_1390,Avenida San Javier esquina con C/ Luis de Narváez,"AVENIDA DE SAN JAVIER, 47 ",POINT (365855.267234162 4058676.30817077),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f5f,66374,APARCAPMR_938,,"CALLE EL COPO, 7 ",POINT (373276.728811683 4068198.20859119),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f5e,66862,APARCAPMR_1021,Esq.con Cl. Carlos Frontaura,"CALLE PADRE COLOMA, 6 ",POINT (378851.887475291 4064680.61178708),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f5d,66193,APARCAPMR_736,Calle Marcos Zapata esquina con Pje. Nuestra Señora del Pilar.,"CALLE MARCOS ZAPATA, 17 ",POINT (378235.863568215 4065002.70750562),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f5c,66577,APARCAPMR_1109,Esq. con Cl. Panamá,"CALLE MARCOS ZAPATA, 15 ",POINT (378215.171270684 4065007.10620946),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f5b,66357,APARCAPMR_865,,"CALLE LUIS TABOADA, 28 ",POINT (378414.136535882 4065142.08791176),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f5a,66614,APARCAPMR_1058,Esq. con Cl. Princesa Irene,"CALLE ÁLAVA, 18 ",POINT (378352.057594491 4065267.68897242),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f59,66634,APARCAPMR_143,Esquina con Cl. Padre Hidalgo,"CALLE PADRE HIDALGO, 14 ",POINT (378548.51152802 4064930.39554371),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f58,76695,APARCAPMR_1326,,"AVENIDA DE MIRAFLORES DEL PALO, 18 ",POINT (378848.416783578 4064932.56715093),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f57,66606,APARCAPMR_948,,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 159 ",POINT (378192.149957248 4064889.59487048),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f56,78436,APARCAPMR_1386,"Avenida Miraflores del Palo, N.º 45","AVENIDA DE MIRAFLORES DEL PALO, 45 ",POINT (378802.808438568 4065162.63167889),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f55,66712,APARCAPMR_1235,,"CALLE ARROYO ACEITERO, 33 ",POINT (373627.000253179 4067268.99977086),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f54,66734,APARCAPMR_949,Intersección c/ Dulcinea del Toboso,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 145 ",POINT (378089.303860861 4064918.57773049),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f53,67048,APARCAPMR_313,Junto al Tintero. En la explanada del aparcamiento,"CALLE PLAYA DEL CHANQUETE, 95 ",POINT (379544.306636117 4064344.84923314),,,,,,MUNICIPAL,No,No,4,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f52,66684,APARCAPMR_539,Esquina con c/ Villafuerte,"CALLE EL PALUSTRE, 16 ",POINT (378557.584467584 4065084.31046691),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f51,67050,APARCAPMR_110,Esquina con Av. Juan Sebastián Elcano,"AVENIDA DE JUAN SEBASTIÁN ELCANO, 179 ",POINT (378283.455699266 4064832.5383785),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f50,66205,APARCAPMR_1084,Esq. con Cl. El Palustre,"CALLE ÁLAVA, 2 ",POINT (378395.625450881 4065140.57566932),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f4f,66288,APARCAPMR_817,,"CALLE DE ALONSO DE MUDARRA, 6 ",POINT (364959.736208 4059595.06016674),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f4e,66858,APARCAPMR_975,A la altura del número 5,"CALLE DON DIEGO DE MIRANDA, 5 ",POINT (378531.976111603 4065257.03231168),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f4d,66893,APARCAPMR_599,Esquina con c/ Abogado Victoriano Frías,"CALLE PANAMÁ, 5 ",POINT (378190.998683867 4064956.232273),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6f4c,67077,APARCAPMR_354,A la altura del nº 18,"CALLE MOSCATEL, 15 ",POINT (373567.891210828 4067515.86849193),,,,,,MUNICIPAL,No,No,2,2028
