"NOMBRE SECTOR",CALLE,"NORMALES","SARE 30","MIXTAS"
"ATARAZANAS","ATARAZANAS",,3,
"ATARAZANAS","HOYO DE ESPARTEROS",,38,
"ATARAZANAS","PANADEROS",4,,
"ATARAZANAS","PASILLO DE ATOCHA",7,6,
"ATARAZANAS","TOTAL",11,47,0
"URBANISMO","CONSTANCIA",91,,
"URBANISMO","SAN ANDRES",41,,
"URBANISMO","JACINTO VERDAGUER",72,,
"URBANISMO","SALITRE",45,,
"URBANISMO","JOSE MARIA GARNICA",64,,
"URBANISMO","CANALES",54,,
"URBANISMO","PASILLO MATADERO",24,,
"URBANISMO","PLAZA DE TOROS VIEJA",15,,
"URBANISMO","TOTAL",406,0,0
"PARQUE TECNOLOGICO","AV. J. LOPEZ PEÑALVER",84,,
"PARQUE TECNOLOGICO","SEVERO OCHOA",24,,
"SOHO","VENDEJA",23,9,
"SOHO","CASAS DE CAMPO",15,,
"SOHO","BARROSO",30,,
"SOHO","MARTINEZ CAMPOS",34,,
"SOHO","POETA ALFONSO CANALES",,,
"SOHO","CORDOBA",9,,
"SOHO","SAN LORENZO",44,,
"SOHO","DUQUESA DE PARCENT",39,5,
"SOHO","TRINIDAD GRUND",8,15,
"SOHO","SOMERA",14,,
"SOHO","PINZON",19,,
"SOHO","ALAMEDA DE COLON",73,,
"SOHO","MANUEL AGUSTIN HEREDIA",18,11,
"MALAGUETA","GUTEMBERG",42,,4
"MALAGUETA","NAVAS DE TOLOSA",54,,
"MALAGUETA","SANTA CRISTINA ",43,,
"MALAGUETA","AVENIDA PRIES",25,,
"MALAGUETA","PSO REDING",24,,
"MALAGUETA","KEROMNES",40,,
"MALAGUETA","PUERTO",6,7,
"MALAGUETA","MAESTRANZA",9,5,
"MALAGUETA","ARENAL",35,9,
"MALAGUETA","FERNANDO CAMINO",69,,
"MALAGUETA","CERVANTES",35,,
"MALAGUETA","CAMPOS ELISEOS",24,,
"MALAGUETA","IBARRA",4,,
"MALAGUETA","SEFONIAS",8,,
"COMP. LEMBERG RUIZ","COMPOSITOR LEMBERG RUIZ",40,13,
"COMP. LEMBERG RUIZ","PLAZA COMPOSITOR LEMBERG RUIZ",40,,
"AURORA","AV DE LA AURORA",98,17,
"AURORA","WALT WHITMAN",27,6,
"BABEL","PZA. DE BABEL",95,21,
"BABEL","MAURICIO MORO PARETO",13,18,
"HUELIN","EMILIO LA CERDA",9,,11
"HUELIN","INFANTES",22,,16
"AYUNTAMIENTO","FRANCISCO BEJARANOS ROBLES",7,7,
"AYUNTAMIENTO","GUILLEN SOTELO",20,,
"EL CARMEN","JOVELLANOS",43,,
"EL CARMEN","MENDIVIL",10,,
"EL CARMEN","ESLAVA ",52,,
"EL CARMEN","LA SERNA",24,,
"EL CARMEN","PLAZA DE TOROS VIEJA",21,10,
"EL CARMEN","RACHMANINOV",27,,
"MALAGUETA","P. M. CIUDAD DE MELILLA",136,,
"MALAGUETA","TOPETE",18,,
"MALAGUETA","PSO DE LA FAROLA",37,,
"MALAGUETA","SAN NICOLAS",40,,
"MALAGUETA","FARO",12,,
"MALAGUETA","REDING",34,,
"MALAGUETA","VELEZ MALAGA",3,,
"MALAGUETA","PINTOR MARTINEZ VIREL",9,,
