APARCAMIENTO,DIRECCIÓN,"CÓDIGO POSTAL",PLAZAS,"USUARIOS ANUALES","BONOS COMERCIO",ABONOS,"TARJETAS MULTIPARKING"
CENTRAL,"Plaza de La Marina s/n",29001,440,714534,5572,9,65.730
"SAN JUAN","C/ Tejón y Rodríguez nº 5",29008,638,149904,4401,369,16640
TEJON,"Plaza San Juan de la Cruz s/n",29007,192,190876,2973,43,16317
ALCAZABA,"Plaza de Alcazaba s/n",29012,389,374169,4671,177,37026
"C. HAYA","Avda. Santa Rosa de Lima s/n",29007,449,156678,835,390,19135    
HUMILLADERO,"Plaza Cruz de Humilladero s/n",29006,221,55129,6732,70,5521    
CAMAS,"C/Camas s/n",29005,413,423040,7592,301,59513
ANDALUCÍA,"Avda. Andalucía  nº4",29007,621,382956,4270,260,56711
"EL PALO",C/Alonso Carrillo de Albornoz  s/n",29017,130,124151,16080,20,23447
CERVANTES,"Avda. Cervantes s/n",29016,418,177692,5511,173,25396
SALITRE,"C/ Salitre",29002,414,110376,3372,158,27782
