"name";"address";"category";lon;lat;"status";temperature;rotationbegin;rotationend;rotationduration;"signal_status";datenosignal
"PS_VR-PMR_4BHuertasdeStoDomingofrenteEducación";"4B Huertas de Sto. Domingo frente Educación";"forDisabled";-1.645649;42.819811;"occupied";24;2026-08-17 21:34:20.911;;;"on";
"PS_VR-PMR_4BHuertasdeStoDomingofrenteEducación";"4B Huertas de Sto. Domingo frente Educación";"forDisabled";-1.645603;42.819811;"occupied";28;2026-07-26 00:45:34.929;;;"commsfail";2026-08-18 05:41:00.433
"PS_VR-PMR_4BHuertasdeStoDomingofrenteEducación";"4B Huertas de Sto. Domingo frente Educación";"forDisabled";-1.645561;42.81981;"free";31;2026-08-17 16:21:08.881;2026-08-17 16:34:43.777;814.896;"on";2026-01-27 14:48:59.826
"PS_VR-PMR_4BHuertasdeStoDomingofrenteEducación";"4B Huertas de Sto. Domingo frente Educación";"forDisabled";-1.645522;42.81981;"occupied";24;2026-08-18 06:24:01.176;;;"on";2026-01-27 18:13:21.335
"PS_VR-PMR_2BCDescalzos72BIS";"2B C. Descalzos 72BIS";"forDisabled";-1.648728;42.818452;"occupied";7;2026-03-09 01:23:17.58;;;"commsfail";2026-04-26 00:30:39.173
"PS_VR-PMR_2BCDescalzos72BIS";"2B C. Descalzos 72BIS";"forDisabled";-1.648726;42.818476;"occupied";27;2026-07-01 21:14:57.632;2026-07-31 09:18:03.172;2548985.54;"commsfail";2026-08-18 05:41:00.433
"PS_VR-PMR_1LCNavasdeTolosa-CJArteaga";"1L C. Navas de Tolosa - C. J. Arteaga";"forDisabled";-1.650166;42.815508;"occupied";23;2026-08-17 01:03:14.189;;;"commsfail";2026-08-18 05:41:00.433
"PS_VR-PMR_2LCPadreMoret-CSandoval";"2L C. Padre Moret - C. Sandoval";"forDisabled";-1.648935;42.814824;"free";48;2026-08-17 21:12:51.16;2026-08-17 23:18:44.876;7553.716;"on";2026-08-10 09:40:59.758
"PS_VR-PMR_2LCPadreMoret-CSandoval";"2L C. Padre Moret - C. Sandoval";"forDisabled";-1.648995;42.814839;"occupied";49;2026-08-17 18:22:12.374;;;"on";2026-08-09 11:40:59.731
"PS_VR-PMR_3LAvEjército2Trasera";"3L Av. Ejército 2 Trasera";"forDisabled";-1.645929;42.813192;"free";20;2026-08-18 06:05:24.323;;;"on";
"PS_VR-PMR_3LAvEjército2Trasera";"3L Av. Ejército 2 Trasera";"forDisabled";-1.646002;42.813174;"free";21;2026-08-17 12:29:30.107;;;"on";
"PS_VR-PMR_3LAvEjército2Trasera";"3L Av. Ejército 2 Trasera";"forDisabled";-1.646084;42.813156;"occupied";26;2025-11-01 06:49:04.34;;;"on";2026-01-27 18:13:21.335
"PS_VR-PMR_1BCPzaSantaMaríalaRealfrenteN1";"1B C. Pza. Santa María la Real frente Nº 1";"forDisabled";-1.639249;42.818063;"free";28;2026-08-03 20:42:09.172;2026-08-04 08:42:01.113;43191.941;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_1BCJuandeLabritfrenteN25";"1B C. Juan de Labrit frente Nº 25";"forDisabled";-1.639973;42.816788;"free";27;2026-08-15 11:50:37.138;2026-08-15 23:50:29.831;43192.693;"on";
"PS_VR-PMR_2LPseoSarasateN13";"2L Pseo. Sarasate Nº 13";"forDisabled";-1.645789;42.814796;"free";0;2026-01-26 09:06:56.855;;;"commsfail";2026-02-25 08:13:26.653
"PS_VR-PMR_2LPseoSarasateN13";"2L Pseo. Sarasate Nº 13";"forDisabled";-1.645848;42.814777;"occupied";19;2026-02-10 07:39:04.043;;;"commsfail";2026-03-12 06:30:31.74
"PS_VR-PMR_2LPseoSarasateN3";"2L Pseo. Sarasate Nº 3";"forDisabled";-1.644115;42.815424;"occupied";6;2025-12-31 08:04:27.569;;;"commsfail";2026-01-30 08:13:21.781
"PS_VR-PMR_3LCGarcíaCastañónN1";"3L C. García Castañón Nº 1";"forDisabled";-1.644054;42.815094;"free";22;2026-08-17 12:46:31.826;2026-08-17 12:46:38.647;6.821;"on";2026-07-19 09:40:58.298
"PS_VR-PMR_3LCGarcíaCastañónN1";"3L C. García Castañón Nº 1";"forDisabled";-1.64401;42.815058;"occupied";27;;;;"on";2026-01-27 22:13:21.449
"PS_VR-PMR_3LCGarcíaCastañónN1";"3L C. García Castañón Nº 1";"forDisabled";-1.643967;42.815019;"free";7;2026-01-23 22:18:24.485;2026-01-23 22:18:37.792;13.307;"commsfail";2026-02-23 02:13:26.036
"PS_VR-PMR_1LCEstellaN5";"1L C. Estella Nº 5";"forDisabled";-1.643699;42.814477;"occupied";12;2026-02-23 17:44:52.073;;;"commsfail";2026-04-05 16:30:37.145
"PS_VR-PMR_1BCEstellaN1";"1B C. Estella Nº 1";"forDisabled";-1.643663;42.814417;"occupied";24;2026-08-08 00:18:19.321;;;"on";
"PS_VR-PMR_2LAvSanIgnacioN10";"2L Av. San Ignacio Nº 10";"forDisabled";-1.643038;42.813814;"occupied";26;2026-08-18 04:43:33.58;;;"on";
"PS_VR-PMR_2LAvSanIgnacioN10";"2L Av. San Ignacio Nº 10";"forDisabled";-1.643034;42.813764;"occupied";21;2026-08-18 05:05:20.343;2026-08-18 05:05:28.344;8.001;"on";
"PS_VR-PMR_2BCArrietaN11";"2B C. Arrieta Nº 11";"forDisabled";-1.641025;42.813943;"occupied";29;2026-08-18 06:48:41.972;;;"on";2026-07-21 05:40:58.395
"PS_VR-PMR_2BCArrietaN11";"2B C. Arrieta Nº 11";"forDisabled";-1.64099;42.813964;"occupied";8;;;;"commsfail";2026-06-12 12:30:50.506
"PS_VR-PMR_2BCLeyreN18";"2B C. Leyre Nº 18";"forDisabled";-1.640418;42.8134;"free";24;2026-08-17 21:56:35.036;2026-08-17 21:58:05.066;90.03;"on";
"PS_VR-PMR_2BCLeyreN18";"2B C. Leyre Nº 18";"forDisabled";-1.640394;42.813418;"free";24;2026-08-16 23:08:25.135;2026-08-17 11:08:00.747;43175.612;"on";
"PS_VR-PMR_2LCArrietaN11bis";"2L C. Arrieta Nº 11bis";"forDisabled";-1.639817;42.814664;"free";22;2026-08-08 19:36:13.562;2026-08-09 07:36:34.085;43220.523;"commsfail";2026-08-18 05:41:00.433
"PS_VR-PMR_2LCArrietaN11bis";"2L C. Arrieta Nº 11bis";"forDisabled";-1.639854;42.81464;"occupied";22;2026-08-11 10:31:22.573;;;"commsfail";2026-08-18 05:41:00.433
"PS_VR-PMR_2LCLeyreN5{Soloes1plaza}";"2L C. Leyre Nº 5 {Solo es 1 plaza}";"forDisabled";-1.638774;42.814302;"occupied";23;2026-08-13 19:17:37.508;;;"on";
"PS_VR-PMR_2BCAralarfrenteN3";"2B C. Aralar frente Nº 3";"forDisabled";-1.637507;42.815364;"occupied";23;2026-08-08 08:46:45.43;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_2BCAralarfrenteN3";"2B C. Aralar frente Nº 3";"forDisabled";-1.637539;42.815389;"occupied";24;;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_1BCSanFermínfrenteN6";"1B C. San Fermín frente Nº 6";"forDisabled";-1.636546;42.813645;"occupied";32;2026-08-17 23:41:22.18;;;"on";
"PS_VR-PMR_1LCMediaLunatraseraColegiodeMédicos";"1L C. Media Luna trasera Colegio de Médicos";"forDisabled";-1.632896;42.814379;"occupied";52;2025-12-15 20:48:50.778;;;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628245;42.811873;"free";51;2026-08-13 00:39:47.654;2026-08-13 12:39:19.521;43171.867;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628219;42.811895;"free";51;2026-08-17 13:03:16.695;2026-08-18 01:02:48.543;43171.849;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628193;42.811918;"occupied";51;2026-08-18 00:51:55.085;;;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628165;42.811939;"free";52;2026-08-17 00:36:20.402;2026-08-17 12:36:05.677;43185.275;"on";
