DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
CIUTAT VELLA;Districte;Grup;;27070;18478;17818;382;759;12790;3815;72;0;13994;0,66;0,96;1,27;1,93;1,32;68,3
L'EIXAMPLE;Districte;Grup;;42618;27453;28438;3576;1123;17269;6398;72;0;19784;0,67;1,04;1,44;2,15;1,39;64,4
EXTRAMURS;Districte;Grup;;48617;31579;23707;5752;910;13651;3371;23;0;21076;0,49;0,75;1,12;2,31;1,5;65
CAMPANAR;Districte;Grup;;38338;25091;31086;4877;314;17980;6312;1473;130;17004;0,81;1,24;1,83;2,25;1,48;65,4
LA SAIDIA;Districte;Grup;;47092;30952;16474;5565;146;9216;568;979;0;19256;0,35;0,53;0,86;2,45;1,61;65,7
EL PLA DEL REAL;Districte;Grup;;30538;19146;21985;5773;983;13007;2209;13;0;15556;0,72;1,15;1,41;1,96;1,23;62,7
L'OLIVERETA;Districte;Grup;;48550;31836;19820;8441;350;9047;977;1005;0;19917;0,41;0,62;1;2,44;1,6;65,6
PATRAIX;Districte;Grup;;57783;39099;34050;11614;142;19218;1416;1211;449;27027;0,59;0,87;1,26;2,14;1,45;67,7
JESUS;Districte;Grup;;52623;35890;19558;7235;228;10356;480;1038;221;22285;0,37;0,54;0,88;2,36;1,61;68,2
QUATRE CARRERES;Districte;Grup;;73915;48783;43120;16537;227;18159;5124;2841;232;31704;0,58;0,88;1,36;2,33;1,54;66
POBLATS MARITIMS;Districte;Grup;;55843;37320;20848;6963;24;7712;1836;2310;2003;23543;0,37;0,56;0,89;2,37;1,59;66,8
CAMINS AL GRAU;Districte;Grup;;65451;43628;39387;3180;377;31854;2315;1156;505;26154;0,6;0,9;1,51;2,5;1,67;66,7
