osm_id,tipo_dato,lat,lon,nombre,operador,horario,zona
node/297322413,parquimetro,40.4710445,-3.686397,,,,
node/339087709,parquimetro,43.5680564,4.1911905,,,,
node/339087710,parquimetro,43.5669051,4.193487,,,,
node/412414679,parquimetro,41.4112191,2.1523408,,,,
node/600487311,parquimetro,43.4629575,-3.7969365,,,,
node/741497775,parquimetro,42.3440615,-3.6915789,,,,
node/908282460,parquimetro,43.5652785,4.1965602,,,,
node/1014739951,parquimetro,43.3182699,1.9534099,,,,
node/1059449139,parquimetro,42.6954484,2.8889109,,,,
node/1116369659,parquimetro,43.6049903,1.4290826,,,,
node/1116369660,parquimetro,43.6050042,1.4284467,,,,
node/1147929206,parquimetro,43.6046587,1.430294,,,,
node/1217952877,parquimetro,43.5375583,-5.6750103,,,,
node/1305390582,parquimetro,43.6052831,1.4324937,,,,
node/1434132422,parquimetro,40.9752923,-5.6579988,,,,
node/1561093683,parquimetro,40.9723051,-5.6478959,,,,
node/1795809254,parquimetro,43.6106959,3.8624567,,,,
node/1886635530,parquimetro,41.3928619,2.1566735,,,,
node/1992868868,parquimetro,38.840296,0.112444,,,,
node/2058050806,parquimetro,38.8410113,0.1082805,,,,
node/2147756680,parquimetro,43.2178305,2.351965,,Effia,,
node/2370854187,parquimetro,43.6120213,3.8645156,horodateur,,,
node/2401621779,parquimetro,42.5863997,2.3646639,,,,
node/2496330764,parquimetro,43.216393,2.3509204,,,,
node/2496435835,parquimetro,43.214053,2.347214,,,,
node/2520338093,parquimetro,43.3940902,3.678565,,,,
node/2521465381,parquimetro,43.3963391,3.6954871,,,,
node/2521897825,parquimetro,43.3995592,3.6966385,,,,
node/2523479290,parquimetro,43.4004403,3.6978786,,,,
node/2523542056,parquimetro,43.4044043,3.7009483,,,,
node/2524775615,parquimetro,43.4066754,3.7011326,,,,
node/2528579270,parquimetro,43.4062668,3.6969371,,,,
node/2848173937,parquimetro,43.2877551,-0.3802234,,,,
node/2848173940,parquimetro,43.2920155,-0.3784304,,,,
node/2848173941,parquimetro,43.2923216,-0.3780691,,,,
node/2848173942,parquimetro,43.293358,-0.3689546,,,,
node/2848173943,parquimetro,43.2933854,-0.3700482,,,,
node/2848173944,parquimetro,43.2935373,-0.3669399,,,,
node/2848173945,parquimetro,43.293767,-0.3655068,,,,
node/2848173948,parquimetro,43.2939647,-0.3641205,,,,
node/2848173949,parquimetro,43.2940614,-0.3721027,,,,
node/2848173950,parquimetro,43.2941294,-0.3728947,,,,
node/2848173951,parquimetro,43.2946723,-0.3723287,,,,
node/2848173952,parquimetro,43.2947598,-0.3646077,,,,
node/2848173953,parquimetro,43.2949944,-0.3731301,,,,
node/2848173954,parquimetro,43.2952513,-0.3660252,,,,
node/2848173955,parquimetro,43.2960265,-0.3757401,,,,
node/2848173956,parquimetro,43.2961712,-0.3746957,,,,
node/2848173957,parquimetro,43.2961253,-0.3779975,,,,
node/2848173959,parquimetro,43.2961777,-0.3775783,,,,
node/2848173960,parquimetro,43.2962391,-0.3759109,,,,
node/2848173962,parquimetro,43.2964969,-0.3662804,,,,
node/2848173964,parquimetro,43.2969092,-0.3631831,,,,
node/2848173965,parquimetro,43.297132,-0.3618363,,,,
node/2848173966,parquimetro,43.2971826,-0.3624129,,,,
node/2848173969,parquimetro,43.2979651,-0.362053,,,,
node/2848173970,parquimetro,43.29784,-0.3719413,,,,
node/2848173971,parquimetro,43.2978625,-0.3746553,,,,
